artist,title,spotify_uri
Laufey,From The Start,43iIQbw5hx986dUEZbr3eN
Idgitaf,Sedia Aku Sebelum Hujan,64qfw9JZl3RYCrq4Mn0WvT
"Macklemore, Ryan Lewis, Macklemore & Ryan Lewis, Ray Dalton",Can't Hold Us (feat. Ray Dalton),22skzmqfdWrjJylampe0kt
EsDeeKid,4 Raws,554qQSs9lpRVq6TlaaiIKT
Radiohead,Let Down,2fuYa3Lx06QQJAm0MjztKr
Cigarettes After Sex,Apocalypse,1oAwsWBovWRIp7qLMGPIet
JENNIE,like JENNIE,0fK7ie6XwGxQTIkpFoWkd1
rihanna,We Found Love,1zv3WFUbZ5vPxFq9I2jAU1
Sam Fender,Rein Me In,0MUXBhPUDF8or0kfQ0EHwV
Creedence Clearwater Revival,Have You Ever Seen The Rain,2LawezPeJhN4AWuSB0GtAU
BLACKPINK,Me and my,5MXcM263QvCTWriH3nVusc
Justin Bieber,Sorry,09CtPGIpYB4BrO8qb1RGsF
Bruno Mars,It Will Rain,4rMNgxEwGWoPHIUcvB5BrB
Rihanna,Kiss It Better,0UHB9METy4VCXNgkcGqHqS
Tom Odell,Another Love,7jtQIBanIiJOMS6RyCx6jZ
"Peso Pluma, Tito Double P, LENCHO",chiclona,5Q4HTsEGKanxOwL1nYCnhQ
Guns N' Roses,Sweet Child O' Mine,7snQQk1zcKl8gZ92AnueZW
"The Chainsmokers, Halsey",Closer,7BKLCZ1jbUBVqRi2FVlTVw
Tears For Fears,Everybody Wants To Rule The World,2YiCMmONQcoMPX2bV1LxE0
Fleetwood Mac,The Chain - 2004 Remaster,5e9TFTbltYBg2xThimr0rU
Ed Sheeran,Photograph,6fxVffaTuwjgEk5h9QyRjy
"Tate McRae, F1 The Album",Just Keep Watching (From F1® The Movie),2yWlGEgEfPot0lv3OAjuG3
"DJ Japa NK, MC Meno K, MC Ryan SP, Mc Jacaré, DJ DAVI DOGDOG",Posso Até Não Te Dar Flores,4G7bbgD2DHORU4frrWoCXp
"Nelly Furtado, Timbaland",Promiscuous,2gam98EZKrF9XuOkU13ApN
Lady Gaga,Poker Face,1QV6tiMFM6fSOKOGLMHYYg
"French Montana, Swae Lee",Unforgettable,3B54sVLJ402zGa6Xm4YGNe
"Coolio, L.V.",Gangsta's Paradise,1DIXPcTDzTj8ZMHt3PDt8p
Rihanna,Love On The Brain,5oO3drDxtziYU2H1X23ZIp
Ariana Grande,we can't be friends (wait for your love),51ZQ1vr10ffzbwIjDCwqm4
Bruno Mars,Something Serious,0PV4VQCmE6Ujssr1bnswdF
Lana Del Rey,Summertime Sadness,1FEiijYPJtyswChfcpv3p0
Taylor Swift,Style,0ug5NqcwcFR2xrfTkc7k8e
Twenty One Pilots,Stressed Out,3CRDbSIZ4r5MsZ0YwxuEkn
Hotel Ugly,Shut up My Moms Calling,3hxIUxnT27p5WcmjGUXNwx
Linkin Park,Somewhere I Belong,3fjmSxt0PskST13CSdBUFx
Tate McRae,Sports car,5UJbgR4XF4y1DvbkxEqe8S
The Cure,Boys Don't Cry,1QFh8OH1e78dGd3VyJZCAC
"Maroon 5, Wiz Khalifa",Payphone,1XGmzt0PVuFgQYYnV2It7A
Coldplay,The Scientist,75JFxkI2RXiU7L9VXzMkle
Hozier,Take Me To Church,3dYD57lRAUcMHufyqn9GcI
Bruno Mars,Nothing Left,0Sq6JK9kyC4MQa3KrJj5CB
Nirvana,Come As You Are,5AEOqLsRJFAoSS4ay4Jzao
Rihanna,S&M,7ySUcLPVX7KudhnmNcgY2D
"The Chainsmokers, Coldplay",Something Just Like This,6RUKPb4LETWmmr3iAEQktW
Chappell Roan,Pink Pony Club,6393yGahSJ9slVdOwSxOVR
"Post Malone, Swae Lee",Sunflower - Spider-Man: Into the Spider-Verse,0RiRZpuVRbi7oqRdSMwhQY
Rihanna,Breakin' Dishes,5EcG8eMMlwkHRVa4aTR1qd
"Kanye West, Dwele",Flashing Lights,5TRPicyLGbAF2LGBFbHGvO
a-ha,Take on Me,04aigH9HRGebQZu1JAN6X1
Lola Young,Messy,35ISBknsCeZQtq66xABI9g
"Charlie Puth, Selena Gomez",We Don't Talk Anymore (feat. Selena Gomez),54PbBpquVfhfrwRwvjSXbI
"Calvin Harris, Ellie Goulding",Outside (feat. Ellie Goulding),7MmG8p0F9N3C4AXdK6o6Eb
Oasis,Wonderwall,5qqabIl2vWzo9ApSC317sa
"ZXKAI, slxughter",NO BATIDÃO,7vg9noSnFEyPfwLiaCW4vi
"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),7G7mSV4BebkoHWwKTDvXu9
A-Lin,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,3VHi5bCUek6XdiDmqqrirs
Crowd Lu,太陽與地球,0bQSWXtpau3VkNI1ZcXTQA
Pei-Yu Hung,再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版,3IBYp3fKyydZ5dDtirLY6P
Hearts2Hearts,RUDE!,0WA27lZzPKFJKAbiDRmQDc
IVE,BANG BANG,7pBE8YpFoZ9ankC2Ci5z9X
Khalil Fong,特別的人,0VTzUEuHYD8s7CgQ15cDPo
V,Slow Dancing,5h1BN75CEh8wdSwE1xrbSe
Patrick Brasca,單程票,3woBOD3Ldh81fAwpsnD8yC
"Top Barry, INDEcompany",一半一半,21x0N6lu6D9kO8rVtTU3mH
V,Love Me Again,2N0SPREDYqILVEFSsWF5N5
HWASA,Good Goodbye,3cLXrotzCjYCkN73PewALM
Evangeline Wong,離開我的依賴,23WLgtD54AeluEPRr5muHo
BLACKPINK,Fxxxboy,7m0duH1vdTNxM2g8BLfR0F
IVE,BLACKHOLE,2ytQFMxdreEFPPZTtyDdqM
黃奇斌,若無你我欲去佗位,76EfpqmO6JUL2TTR1SIGwz
"Patrick Brasca, mac ova seas",左轉燈 (1000 Times+1),4UwZyC0wEV6XDEAr9kaQhi
Jay Chou,擱淺,0cOMncRq4cmDLO4tPQnkBF
KiiiKiii,404 (New Era),24rDDbSlFY9OHrlJb48CRh
Bestards,離開的一路上,1NoDTQhJsrd5rnpb6PQthK
Crowd Lu,一夜一夜一夜,3wofqqt5YJWdhLI9IFaX39
Crowd Lu,幾分之幾 - 電影<花甲大人轉男孩>主題曲,4F7ZAsndEIJXyFzJUHNlRu
"i-dle, skaiwater",Mono (feat. skaiwater),3VxmXJ4FdtbWI27p3Gx4Wh
EggPlantEgg,閣愛妳一擺,4Zwn8WxD61diTwqv9hyTQA
Stefanie Sun,遇見,3xJK8ywApYVEYIDhymYMC6
CORTIS,GO!,6OWWZtNQORY1McaZmOrwhc
Stefanie Sun,我懷念的,7z2M7DsEjZjwXBkWG3zd21
ROSÉ,toxic till the end,1z5ebC9238uGoBgzYyvGpQ
BABYMONSTER,PSYCHO,491ca80N1C63tpoLvAsLKb
Khalil Fong,愛愛愛,59lBAMCis4C6NsPdUV35Vz
"LE SSERAFIM, j-hope",SPAGHETTI,2N9miXnewVmUrgl6JSK1FI
"Patrick Brasca, 陳華",你沒等我去的舊金山,1aNVW0fujBVx7JTorTO1jn
Bestards,不是因為天氣晴朗才愛你,2VEt42QSQxILgEf9B50xxm
aespa,Whiplash,7Cnpb1vBbC46RgVyyKLH7p
Amazing Show,愛情的大壞蛋,5HVq8nS0pbM6G7YK8M7DY4
Jay Chou,晴天,5pIcwtJYNJx93l420oR2Vm
A-Mei Chang,連名帶姓,3LlQoKvVnkVvq3KC8anUn8
陳粒,小半,3QxWTqyIT4O9bokIZlNDpo
BABYMONSTER,WE GO UP,1tonXoW6dcb7GGNpec3PTl
"Jay Chou, Lara Liang",珊瑚海,3Qj9Fy8BPbWmICTiNkuqB7
Pets Tseng,一個人想著一個人,3n3zzFH7zzO0gJNaw4RKSm
ILLIT,NOT CUTE ANYMORE,1k0JAiH11gHL9dc5dfQjQr
张远,看着我的眼睛说,7d6eShN6yVeR4Y2Md9uCA4
Stefanie Sun,開始懂了,68tZwwRuo9ip5gRQFG1XWF
David Tao,愛我還是他,13bw75oRjvxMv9VGIeM32i
LBI利比,Jumping Machine (跳楼机),1XZE0InCx3SdCnLpVsPpZl
JOLIN,布拉格廣場 - JOLIN Version/ 星宇航空布拉格開航主題曲,0HnESxAFR5lTHioAlI7wo3
EggPlantEgg,浪流連,1IS0WFyiVpwsATeSzjEvpI
Sam Lee,痴心絕對,0D0n4q2o54VTOmDJdL6ikY
EggPlantEgg,愛情你比我想的閣較偉大 (《當男人戀愛時》電影主題曲),6m2I6ZyWRkxjBrrLVQILfl
"Firdhaus, DIOR 大穎",在加納共和國離婚,6GyUt7yJ0sOktc5HjvVnFh
icyball 冰球樂團,不在乎,1t2mpO9GpLjRHDDX6SFWRn
Jay Chou,楓,1pALOIA4ytESmhl7Fxjdic
"马也_Crabbit, Cole先生",海屿你,6UO9nrihAk6sFGvVHDVTz8
艾薇 Ivy,天使借的溫柔,3ITUmRLMjxf3ZqCPSDD2gk
LNGSHOT,Moonwalkin',46V2ciN6F5bxjQWityNhkY
G.E.M.,多遠都要在一起,55d0jw269HE9pbOt5ntCo8
Joker Xue,演员,5Sib99jpYybZAicUMETb3h
张远,嘉賓,5jAmIkIpskwu2hRz2YaEHi
CORTIS,FaSHioN,4ecdsGz3Hg6TKPwQ0ZOdJz
A-Mei Chang,人質,6OAUhxFZzaRHHC8XiuIkvb
BABYMONSTER,DRIP,1MUZitHRpmng5NevrvNx4T
Richael Liu,两三句,0BkBM5rY934yzHViRhd8Em
"Jay Chou, A-Mei Chang",不該,5miH0BWhRVTvHAwmnoeyXH
Sam Lee,手放開,2Dd9EXYXI2NNrLG61OtWQv
Kenshi Yonezu,IRIS OUT,59hVbgr8rfYkDbHfr8RcGI
CORTIS,"Mention Me - From The Movie ""GOAT""",3f0OEJd7mlPNhmH3fUOrqy
F.I.R.,月牙灣,1b5IRT3iraxjHOsKZx93sW
ILLIT,Magnetic,1aKvZDoLGkNMxoRYgkckZG
PIZZALI,做我的初戀,4flk8ZgDFry6o2t0SdKsnB
ROSÉ,number one girl,1lcBt7LoEikqYmhUoa2cez
A-Lin,給我一個理由忘記,2DcmVSLAg0ZzfOQxDshZHY
David Tao,就是愛妳,73eCSQ1DxQbaOnzy8PhKx3
Joker Xue,其实,6Mmdzst5fLkrKjhdkGhLpe
DIOR 大穎,人的這一生,2Jox8DFhnUpJZJWLsVAsAR
Hearts2Hearts,FOCUS,6jYiHr12NVKLzn0X7K8aSK
Silence Wang,像晴天像雨天（电视剧《难哄》心动曲）,1zFuSla4RQ5qAJwDIQYixW
Amazing Show,偷偷愛,0L7R4dmkwk46DEZgqx1fF7
"Disney, Shakira",Zoo,3vJIaiTIHxHhYafTSPNiH4
Fish Leong,慢冷,3NNDJfWMGHuNpvHWTImmlW
WeiBird,"如果可以 - 電影""月老""主題曲",72OVnXDzugvrCU25lMi9au
Ronghao Li,"不將就 (電影""何以笙簫默""片尾曲)",5DH8nF7aWoXXg5Sm3gjCWD
aespa,Rich Man,1sUjTLLCJzcxC15GUBrOlg
F.I.R.,我們的愛,0Q4YuuiCuxIIKUw2fb1cmV
Crowd Lu,愚人節快樂,3bQeHxH1x4pVUfsRpuLAlH
JOLIN,妥協,0m1cI6aV1jq537JamnL592
李浩瑋 Howard Lee,無垢,08VBl78Lgs7VIEzCL1Btyv
"JISOO, ZAYN",EYES CLOSED (with ZAYN),4WFfPxJv1KRekG6mxn837K
Andrew Tan,天后,4D0KlK4Fl8lotvsoys1bYQ
TWS,OVERDRIVE,5qAfVxNUxjrELshgTpWxLf
Wu Bai,淚橋,0NAcDn6U2GB2Arhspmh38S
"G-DRAGON, TAEYANG, DAESUNG",HOME SWEET HOME (feat. TAEYANG & DAESUNG),5doooVlMVRZztQbySqARMI
"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),567e29TDzLwZwfDuEpGTwo
TWICE,THIS IS FOR,18AMT576rBlQFMzUTS7WBa
高爾宣 OSN,Without You,0KWnRv3wxjltYVB3MqjNd2
A-Mei Chang,如果你也聽說,2JH8WubSk2IWYUDBUguSQv
NMIXX,Blue Valentine,4i0HNuFEH6P6K4UnsY5uUh
A-Lin,失戀無罪,2s96YKKpfBUbQP3lJuhkfX
G.E.M.,泡沫,2IfSPLPDW6RGosdB5huwAA
Jay Chou,七里香,57w29bSwdIZ6gr6xXOqwc1
Eric Chou,怎麼了,5cU1O9P0EDA0rPkPDykhIm
Leehom Wang,愛錯,4vdX5mQE0oXkflFqsqQkUP
BABYMONSTER,Really Like You,5xqM1HOndjxfH7NmyD8SVS
"艾薇 Ivy, 吳霏",我受夠了,3w71TlXbEeZeZcI7BtHy2G
EggPlantEgg,浪子回頭,301mxTHzMyFOVUXl6U22sf
"高爾宣 OSN, Patrick Brasca",Hold On,580BvW3DyUNoYFgQgoD2GI
Juice Boy,一萬公里外的你,6FIhcAp2lj45eFlUkTriAr
A-Mei Chang,掉了,4yLirljV93Y0vIoERjeTv5
"Kenshi Yonezu, Hikaru Utada",JANE DOE,4oE7MyJhqSD3BaHRpNs8Nl
"ROSÉ, F1 The Album",Messy (From F1® The Movie),6Wobsw9uZ0D0xkfOjxXSq9
Stefanie Sun,雨天,5tZbcQ5PYID0xB0VNblmrK
玖壹壹,下輩子,73Ijz3vN9KP1W5qrfNeWMI
Amazing Show,捲菸,7ks6KrwN2DKhEm06X85qEK
TWICE,What is Love?,5Ek40FyMPprcvtyZDjqylX
Stefanie Sun,我不難過,4XrWar13kLO1jr535AzKrQ
Jay Chou,說好的幸福呢,4OoExItZJ0jePoCZDbHx4t
IVE,XOXZ,2c6xH9usslUoHnOzsRhpcP
Crowd Lu,刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲,3OC84eKMxRJ4x0Hcwl9i4i
en王翊恩,嚣张,1vfUASvUGt3gxQ1x3T3u1C
831,想見你想見你想見你 - 電視劇《想見你》片尾曲,69zgyr5HVKdInjeKpq1qHa
ALLDAY PROJECT,ONE MORE TIME,7FyKqLLICVzwBiAUtbVYUW
Zhang Zhen Yue,愛我別走,2fc2vUA5H3mTAr9rQoBDKt
Jay Chou,一路向北,7KoqEF76fGnDYdxTSHLxcm
"Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast",Soda Pop,02sy7FAs8dkDNYsHp4Ul3f
"阿涵, Ayo97",感谢你曾来过,1JLtvvPsHwLyd2ufASdkWV
Khalil Fong,紅豆,5TkQbhQm9BXONk2agDo4w9
IVE,Odd (GAEUL Solo),2dl3pNKU8pr0fcI4XrKcGF
David Tao,"愛, 很簡單",3OXHwY8gI2QUh0QliXBwrI
菲菲公主,第57次取消发送,2xYrGeWUjwGvB0KMAfUFSd
Cheer Chen,太聰明,4DCB1S7G6SmH9qlDpEVIzP
頑童Mj116,SPOTLIGHT,4IazYww9msi3dR81d9itO7
艾薇 Ivy,失重前幸福,3SJgTyb8a7z66suw0kBZ0T
Rainie Yang,雨愛,553GNiNqcudWfsF55RBDqz
CORTIS,JoyRide,6T17ZI0glfM2IGLdUwtnLK
JENNIE,Mantra,1kUyOJb3fzUo8r0OCz5SQk
Shi Shi,少一點天份,7lCLZlVt6g4ifoHXpXEHZm
Amazing Show,心悶,5PpuqQ7vLG2e66SUpjUVYg
陈村长,爱怎么了,0c9gjnRGBRke9VmLaZWmhM
ZQS,这是你期盼的长大吗,3AKYofM0vFekNthGbpjMpN
Hearts2Hearts,STYLE,5EoV2HmAlkqN1XvsIjOBZZ
Rene Liu,後來,2wzXhxWPX0aODraKNXoJYY
sodagreen,小情歌,4FhJ7YSRxATHnaRg4nGs6t
Ricky Hsiao,末班車,4oELKeBS6hWwN3CTuN6acA
"Marz23, Faye 詹雯婷",不簡單的歌 (feat. Faye 詹雯婷),77Y69dj99sTYGAWule3nz8
WOODZ,Drowning,4xeugB5MqWh0jwvXZPxahq
芒果醬 Mango Jump,我喜歡你,6FpUCVpLvO0QXwsovSfWEa
JOLIN,倒帶,4XipvtwRgtUrGb2j2l0wNG
Eason Chan,淘汰,5sYtvIl1mx9QuIgwC6FDU1
黃小琥,沒那麽簡單,4xZIMRwaaBx7CZMmM6KLuh
"Ronghao Li, A-Mei Chang",對等關係 (feat. 張惠妹),0mGNDAW085Jkn8IbEalZG3
aespa,UP - KARINA Solo,5sjnkOfTLCLNfkkchI2re2
Amazing Show,擋一根,6439IQyiZV5I7aOo8UREgm
Sam Lee,最近,0ONg8VCxzW3CCNDxDY0DNe
LNGSHOT,Never Let Go,37xebnhvUyM8VyyDDeo65d
F.I.R.,Lydia,4D4KVgVNxed4Hd3rGWlCo2
Nicky Lee,想太多,7IiSESHLOtsoEXTlXa0bjJ
颜人中,有些,4bDJJr7yG31MApWuvEasAo
David Tao,普通朋友,7CTitzr4eVIDCPUJi5Dr4B
Taylor Swift,Cruel Summer,1BxfuPKGuaTgP7aM0Bbdwr
aespa,Drama,5XWlyfo0kZ8LF7VSyfS4Ew
icyball 冰球樂團,能不能和我留在台北（陪我幾天）,63N9fNPJ5kkbvtntCwgIbm
Wu Bai,夢醒時分,51fGtLs5vdK2NOumVhMXru
IVE,I AM,70t7Q6AYG6ZgTYmJWcnkUM
BY2,我知道,7iXPSlDdL0EQwPFtUR8ye1
XG,HYPNOTIZE,3fEX9NgOeklq816Fw00uoo
ATEEZ,Adrenaline,2VKGO4DNyUK5UxCQB3b3DF
Eason Chan,十年,25pWemriUQVrZ3yIiS2IBf
Eric Chou,想念你想我,1sl9O7VLwGwdw4iXqnkbDP
Eric Chou,摯友,5evE7bweEhX83fd1ZmwPjP
BABYMONSTER,FOREVER,7a6vvAM1cjAuyVQpqv9pmu
NewJeans,Ditto,3r8RuvgbX9s7ammBn07D3W
马师傅,善后,6gYS6CQc7UMnj0Ubq3C0QT
Ella Langley,Be Her,05CjWFAcAlY6O9po6Qwakk
Ella Langley,weren't for the wind,2A22iI0x4EYAVXNpKPhNEM
Luke Combs,Be By You,7aLndReanHBzpTGE5Am9H8
Morgan Wallen,I Got Better,4gfrYDtaRmp6HPvN80V2ob
Noah Kahan,The Great Divide,77zqs8ucHCSk5jh9TYec4b
"Waka Flocka Flame, Roscoe Dash, Wale",No Hands,03tqyYWC9Um2ZqU0ZN849H
"BigXthaPlug, Ella Langley",Hell At Night (feat. Ella Langley),3pAVk6Ydn0dcGpG8gDyxSJ
Whiskey Myers,Broken Window Serenade,1VOSSXuWRcBj2rpfxNdX9v
Drake,Headlines,6LxSe8YmdPxy095Ux6znaQ
"Mac Miller, Empire Of The Sun",The Spins,2QGVKiAGTa1YcDqPMhAzF7
Malcolm Todd,Earrings,0eAuGrXyGFYwur9ARUe7LJ
"Zach Bryan, Kacey Musgraves",I Remember Everything (feat. Kacey Musgraves),4KULAymBBJcPRpk1yO4dOG
Fetty Wap,Trap Queen,2d8JP84HNLKhmd6IYOoupQ
"White Noise Radiance, Rain Sounds","Rain Sounds for Sleeping, Pt. 06 (Continuous No Gaps)",7gF2mPcjipv2hLGHY7bi17
Morgan Wallen,I'm The Problem,7AeM1BGYM7emrqmQn1PuWv
Brent Faiyaz,butterflies.,4jyyma8YdFC4S4llusSFRu
J. Cole,No Role Modelz,68Dni7IE4VyPkTOH9mRWHr
Frank Ocean,Nights,7eqoqGkKwgOaWNNHx90uEZ
Lit,My Own Worst Enemy,33iv3wnGMrrDugd7GBso1z
"Post Malone, Morgan Wallen",I Had Some Help (Feat. Morgan Wallen),5IZXB5IKAD2qlvTPJYDCFB
Zach Bryan,Something in the Orange,3WMj8moIAXJhHsyLaqIIHI
Foo Fighters,Everlong,5UWwZ5lm5PKu6eKsHAGxOk
Chris Stapleton,You Should Probably Leave,2UikqkwBv7aIvlixeVXHWt
Childish Gambino,Les,7ghKr0pCYyPPyp7t1FH8k4
Drake,Passionfruit,5mCPDVBb16L4XQwDdbRUpz
Fleetwood Mac,Landslide,5ihS6UUlyQAfmp48eSkxuQ
Treaty Oak Revival,Missed Call,6ybZUqlfk938oS6WeBmDab
Riley Green,Worst Way,1osfLqL6L2iQsirRf83ded
The Marías,Sienna,0InIeZW4P6VO7dUGRM4AKH
Sublime,Santeria,2hnMS47jN0etwvFPzYk11f
Red Hot Chili Peppers,Scar Tissue,32sx78QsGg6pKXn42XvF9L
Chris Stapleton,Tennessee Whiskey,3fqwjXwUGN6vbzIwvyFMhx
Luke Combs,Sleepless in a Hotel Room,2za9t2qpWyUpIhnJcwopPt
"Morgan Wallen, Tate McRae",What I Want (feat. Tate McRae),04emojnbYkrRmv5qtJcgVP
Noah Kahan,Stick Season,0mflMxspEfB0VbI1kyLiAv
Don Toliver,ATM,03auLpFLdCv4HozP4pQseu
Shaboozey,A Bar Song (Tipsy),5fZJQrFKWQLb7FpJXZ1g7K
Kendrick Lamar,Not Like Us,6AI3ezQ4o3HUoP6Dhudph3
Ella Langley,Dandelion,7FudQLDIYCX6F7ruexVn2X
Malcolm Todd,Sweet Boy,59c2xv2kMzYM6HR9oY6BIa
Kanye West,Heartless,4EWCNWgDS8707fNSZ1oaA5
"Don Toliver, Rema",Secondhand (feat. Rema),4Z5KKoBGxpJo8YbDcGQXd5
Twenty One Pilots,Drag Path,0TlcczkVTGpinpkGJpT81L
Don Toliver,Gemstone,6d9Cs2D2RSIl9c0ulgnFe8
Lil Uzi Vert,20 Min,0uxSUdBrJy9Un0EYoBowng
Frank Ocean,Pink + White,3xKsf9qdS1CyvXSMEid6g8
Zach Bryan,Pink Skies,4ZJ4vzLQekI0WntDbanNC7
"J. Cole, Miguel",Power Trip (feat. Miguel),2uwnP6tZVVmTovzX5ELooy
J. Cole,Work Out,2wAJTrFhCnQyNSD3oUgTZO
Miguel,Sure Thing,0JXXNGljqupsJaZsgSbMZV
Brooks & Dunn,Neon Moon,2M38X60UJnupGPbFTkVPNQ
Morgan Wallen,Last Night,583dMdiUquLMenarTp7PQm
Baby Keem,Ca$ino,3VW6HJYa5l0uzGcCRA222P
Frank Ocean,Novacane,4osgfFTICMkcGbbigdsa53
Frank Ocean,Thinkin Bout You,7DfFc7a6Rwfi3YQMRbDMau
Tory Lanez,The Color Violet,3azJifCSqg9fRij2yKIbWz
"Lil Wayne, Drake, Future",Love Me,2XHzzp1j4IfTNp1FTn7YFg
SZA,Snooze,4iZ4pt7kvcaH6Yo8UoZ4s2
TV Girl,Lovers Rock,6dBUzqjtbnIa1TwYbyw5CM
Mazzy Star,Fade Into You,1LzNfuep1bnAUR9skqdHCK
Hozier,Too Sweet,19XpFsce28aByvCC4g89tJ
Jeff Buckley,"Lover, You Should've Come Over",6Jv7kjGkhY2fT4yuBF3aTz
Julia Wolf,In My Room,2Ui2JtVjnbHZuExldryCOA
Malcolm Todd,Roommates,5vPUv0xziXbV4lnWeVNXNq
3 Doors Down,Kryptonite,6ZOBP3NvffbU4SZcrnt1k6
Chris Stapleton,Think I'm In Love With You,3Gn1zuHNLtGuGEOXwq0k7e
The Red Clay Strays,Wondering Why,1HbzxLqpNVPdiBXvpC7Ovb
Justin Bieber,YUKON,29iva9idM6rFCPUlu7Rhxl
Morgan Wallen,20 Cigarettes,0YsIYFRoxkmEvbKCwTp0Tg
Joji,SLOW DANCING IN THE DARK,6rY5FAWxCdAGllYEOZMbjW
Red Hot Chili Peppers,Can't Stop,6ojiTSzyv2qPMWqyhUKAqz
Olivia Dean,The Hardest Part,3cPoiK69oQ1SdbB2j2ulGm
King Von,Took Her To The O,7fEoXCZTZFosUFvFQg1BmW
TLC,No Scrubs,1KGi9sZVMeszgZOWivFpxs
Don Toliver,Tiramisu,2GHKo6nrSjruvBEQbzD7Fw
"B.o.B, Bruno Mars",Nothin' on You (feat. Bruno Mars),59dLtGBS26x7kc0rHbaPrq
Hudson Westbrook,House Again,1zM8S2pnIclcdTmrfFnWtX
Daniel Caesar,Superpowers,736PP5LTtREkDgktNmX3Gu
"Baby Keem, Kendrick Lamar, Momo Boyd",Good Flirts (feat. Kendrick Lamar & Momo Boyd),5sHeIGDbdzw8DeO57XZKIy
Tate McRae,TIT FOR TAT,1dByUyyoRKL99fJJ6VCQzb
"Kendrick Lamar, Lefty Gunplay",tv off (feat. lefty gunplay),0aB0v4027ukVziUGwVGYpG
"USHER, Lil Jon, Ludacris",Yeah! (feat. Lil Jon & Ludacris),5rb9QrpfcKFHM1EUbSIurX
Olivia Dean,Dive,36vmaZyO0iAE6FZ7287fg2
"Kendrick Lamar, Jay Rock",Money Trees,2HbKqm4o0w5wEeEFXm2sD4
Prince,Purple Rain,1uvyZBs4IZYRebHIB1747m
The Cranberries,Linger,0gEyKnHvgkrkBM6fbeHdwK
Morgan Wallen,Whiskey Glasses,57TEkZN3f84tFJFHFrD4pO
Noah Kahan,Northern Attitude,4O2rRsoSPb5aN7N3tG6Y3v
