artist,title,spotify_uri
"Yan Block, Panda Black",444,1o4xkdBe0RjSf2u6VXi4OI
"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,13BDiikG6y5o5cQTK0HpW6
Willie Colón,Idilio,5iwgEFKEktjBBZV3C9TTZj
"Yan Block, Panda Black",Talento,7sChwC2NZjGc2Kdni3hlDg
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,0l0vcZMU7AOeQmUIREoI2U
"Boza, ELENA ROSE",orióN,4feh4Ak3ZJfC6ibxkNzlkE
Luis Alberto Posada,Mal Amor,1j4XwpoLvqdkWllikDu7Rm
Arcángel,Ganas De Ti,71w26UK674tLfGtJFfDSjE
Romeo Santos,Imitadora,6r46lnXFbE9fr2d3KNaGbe
Maluma,Borro Cassette,6DUdDIRgLqCGq1DwkNWQTN
"Yan Block, TORRRES",Yo sé,5DdLSEyKh8zgCrJq2hFj92
"El Americano 4KT, Kobby",The Flow's Son Black!,6uLcqYE347zlvXD6rhiM4J
Dalmata,Dile a Tu Amiga,3u2jlo9kygiIAq7SPVuw6S
"Kris R., GeezyDee, Prodmonja",BOBADITA,52IeC2QBiJqk9jAR5gbe14
"Omar Courtz, ROA",WO OH OH,0h54mLixODOqU6vTcZMqVM
Yeison Jimenez,Ya No Mi Amor,7qbPQqOYYMPdQqRqv7bNin
Omar Courtz,SI ESTÁS CON ALGUIEN,7nyk5uxevcijIfl1FlJgmA
"Alzate, Yeison Jimenez",Mi Venganza,3f4AsGGYt94t7g1lHcsa8D
"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),6NSMQFKgjpQb0KkjMDYIK0
"TURY, CARABIN3",CHUCHA,01dFxiEOMTTzim5J3kytjA
Bad Bunny,KLOuFRENS,4MUrUT38U98olfnyzMBCzm
"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",57,3mg9jYNC1NihbthlglzrWP
Yeison Jimenez,El Mejor Caballo,4Udf3NPZZVggwmVXHcjuqA
"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,72q1JMsCJbKNbWgzipGi6x
Milo j,Niño,4aDbrgm1ZaebS1Bb2dOXac
"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,5AK6QqM8aUXXTk6oY00ZRh
"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,5HCk7iruzhQ1FbxyS3igmM
Omar Courtz,KOKO,1tz7RZirwiuaJw2p0jbdHb
