artist,title,language,spotify_uri
Rels B,TU VAS SIN (fav),unknown,6uiQ0DqbXTBc8tl0AUKZkR
"Blessd, J Alvarez",FANÁTICO,unknown,0e3d2UZRjtvviXWWMRYGQo
"Blessd, Ovy On The Drums",Mírame,unknown,2btNsI4OvcVl7SAHQQDHFB
Ñengo Flow,En Las Noches Frias,unknown,0a0JiZejbYYem1W31fldde
"Tony Dize, Plan B",Solos,unknown,3CbiuLMBPM6uV4a7HvkOib
"KAROL G, Feid",Verano Rosa,unknown,0nafF9MxcXJBQWv3BTKtdF
Danny Ocean,Me Rehúso,unknown,6ifUES3keWjwXgae8pXI3o
"Yan Block, Panda Black",444,unknown,1o4xkdBe0RjSf2u6VXi4OI
"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,unknown,13BDiikG6y5o5cQTK0HpW6
Willie Colón,Idilio,unknown,5iwgEFKEktjBBZV3C9TTZj
"Yan Block, Panda Black",Talento,unknown,7sChwC2NZjGc2Kdni3hlDg
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,unknown,0l0vcZMU7AOeQmUIREoI2U
"Boza, ELENA ROSE",orióN,unknown,4feh4Ak3ZJfC6ibxkNzlkE
Luis Alberto Posada,Mal Amor,unknown,1j4XwpoLvqdkWllikDu7Rm
Arcángel,Ganas De Ti,unknown,71w26UK674tLfGtJFfDSjE
Romeo Santos,Imitadora,unknown,6r46lnXFbE9fr2d3KNaGbe
Maluma,Borro Cassette,unknown,6DUdDIRgLqCGq1DwkNWQTN
"Yan Block, TORRRES",Yo sé,unknown,5DdLSEyKh8zgCrJq2hFj92
"El Americano 4KT, Kobby",The Flow's Son Black!,unknown,6uLcqYE347zlvXD6rhiM4J
Dalmata,Dile a Tu Amiga,unknown,3u2jlo9kygiIAq7SPVuw6S
"Kris R., GeezyDee, Prodmonja",BOBADITA,unknown,52IeC2QBiJqk9jAR5gbe14
"Omar Courtz, ROA",WO OH OH,unknown,0h54mLixODOqU6vTcZMqVM
Yeison Jimenez,Ya No Mi Amor,unknown,7qbPQqOYYMPdQqRqv7bNin
Omar Courtz,SI ESTÁS CON ALGUIEN,unknown,7nyk5uxevcijIfl1FlJgmA
"Alzate, Yeison Jimenez",Mi Venganza,unknown,3f4AsGGYt94t7g1lHcsa8D
"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),unknown,6NSMQFKgjpQb0KkjMDYIK0
"TURY, CARABIN3",CHUCHA,unknown,01dFxiEOMTTzim5J3kytjA
Bad Bunny,KLOuFRENS,unknown,4MUrUT38U98olfnyzMBCzm
"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,unknown,3mg9jYNC1NihbthlglzrWP
Yeison Jimenez,El Mejor Caballo,unknown,4Udf3NPZZVggwmVXHcjuqA
"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,unknown,72q1JMsCJbKNbWgzipGi6x
Milo j,Niño,unknown,4aDbrgm1ZaebS1Bb2dOXac
"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,unknown,5AK6QqM8aUXXTk6oY00ZRh
"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,unknown,5HCk7iruzhQ1FbxyS3igmM
Omar Courtz,KOKO,unknown,1tz7RZirwiuaJw2p0jbdHb
Kapo,OHNANA,unknown,482PEx8hfMHSsuGtHd960A
"Tony Dize, Yandel",Permítame,unknown,6OaGIYcVzx5c7aEKkuYS1M
Bad Bunny,DtMF,unknown,3sK8wGT43QFpWrvNQsrQya
"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,unknown,1DwscornXpj8fmOmYVlqZt
Bruno Mars,Risk It All,unknown,5y2ijHECwFYWqcAHKTZgzD
Djo,End of Beginning,unknown,3qhlB30KknSejmIvZZLjOD
Olivia Dean,Man I Need,unknown,1qbmS6ep2hbBRaEZFpn7BX
Taylor Swift,The Fate of Ophelia,unknown,53iuhJlwXhSER5J2IYYv1W
Olivia Dean,So Easy (To Fall In Love),unknown,6sGIMrtIzQjdzNndVxe397
Bad Bunny,BAILE INoLVIDABLE,unknown,2lTm559tuIvatlT1u0JYG2
Bruno Mars,I Just Might,unknown,6f68Ac5tt5BQOpwr0BV9oN
Bad Bunny,NUEVAYoL,unknown,5TFD2bmFKGhoCRbX61nXY5
sombr,back to friends,unknown,7qjZnBKE73H4Oxkopwulqe
Dominic Fike,Babydoll,unknown,7yNf9YjeO5JXUE3JEBgnYc
RAYE,WHERE IS MY HUSBAND!,unknown,55lijDD6OAjLFFUHU9tcDm
"Dave, Tems",Raindance (feat. Tems),unknown,3oTuTpF1F3A7rEC6RKsMRz
Bad Bunny,Tití Me Preguntó,unknown,1IHWl5LamUGEuP4ozKQSXZ
Zara Larsson,Lush Life,unknown,1rIKgCH4H52lrvDcz50hS8
Alex Warren,Ordinary,unknown,2RkZ5LkEzeHGRsmDqKwmaJ
"HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast",Golden,unknown,1CPZ5BxNNd0n0nF4Orb9JS
Bad Bunny,EoO,unknown,6J5kc12BW5HuP3d7C3vvx8
"Lady Gaga, Bruno Mars",Die With A Smile,unknown,7so0lgd0zP2Sbgs2d7a1SZ
Alex Warren,FEVER DREAM,unknown,7ogpGbKc4Io6NCU6ydxXwZ
SIENNA SPIRO,Die On This Hill,unknown,2gYTC8DsplN3RNdpdBcCOQ
BLACKPINK,GO,unknown,3FZPp9lBUvhsxFxKJi3VkB
The Goo Goo Dolls,Iris,unknown,6Qyc6fS4DsZjB2mRW9DsQs
sombr,Homewrecker,unknown,7tICCrK3CcyRFKza7yrR0z
Billie Eilish,BIRDS OF A FEATHER,unknown,6dOtVTDdiauQNBQEDOtlAB
The Police,Every Breath You Take,unknown,1JSTJqkT5qHq8MDJnJbRE1
Ravyn Lenae,Love Me Not,unknown,4WFgvKVfEhb3IUAFGrutTR
She & Him,I Thought I Saw Your Face Today,unknown,0myRViRgmQ3J8izICXEAVO
Sabrina Carpenter,Manchild,unknown,2BwO5K8Q7EPAJSGze3AAh9
Bad Bunny,VOY A LLeVARTE PA PR,unknown,59D4DOkspUbWyMmbAPQkxZ
sombr,12 to 12,unknown,05od2qm2MTSKCHxy1GBp5W
Gigi Perez,Sailor Song,unknown,21IYMdzTrzSe191Cy5eMap
Taylor Swift,Opalite,unknown,3yWuTOYDztXjZxdE2cIRUa
Bella Kay,iloveitiloveitiloveit,unknown,5IMpnpD0tQVcqWlVIgtAtV
The Neighbourhood,Sweater Weather,unknown,0cQVqPuHQP4KEwc7ZUQmj6
Billie Eilish,WILDFLOWER,unknown,3QaPy1KgI7nu9FJEQUgn6h
Radiohead,Creep,unknown,70LcF31zb1H0PyJoS1Sx1r
Bruno Mars,That's What I Like,unknown,0KKkJNfGyhkQ5aFogxQAPU
"J Balvin, Bad Bunny",LA CANCIÓN,unknown,0fea68AdmYNygeTGI4RC18
"Disco Lines, Tinashe",No Broke Boys,unknown,3cZajhyr8LmtPfHZ9296tj
"Drake, Wizkid, Kyla",One Dance,unknown,1zi7xx7UVEFkmKfv06H8x0
Benson Boone,Beautiful Things,unknown,3xkHsmpQCBMytMJNiDf3Ii
Ella Langley,Choosin' Texas,unknown,65DbTqJKhbwqYbZ1Okr0rc
"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,unknown,2pbSCYzxrG0wa6qcj8IyiE
Bruno Mars,Cha Cha Cha,unknown,6QletrrmpkUpeJkipX9pgf
Don Toliver,E85,unknown,3B4cjvGlPvyBLNG3AzEgkZ
Bruno Mars,Locked out of Heaven,unknown,5g7sDjBhZ4I3gcFIpkrLuI
Jin,Don’t Say You Love Me,unknown,27xkOIER6uDLKALIelHylZ
Arctic Monkeys,I Wanna Be Yours,unknown,5XeFesFbtLpXzIVDNQP22n
The Killers,Mr. Brightside,unknown,003vvx7Niy0yvhvHt4a68B
"Sean Paul, Keyshia Cole",(When You Gonna) Give It Up to Me - Radio Version,unknown,5nEdwtSv0qqeE0l4o1lR4q
"The Weeknd, JENNIE, Lily-Rose Depp","One Of The Girls (with JENNIE, Lily Rose Depp)",unknown,7CyPwkp0oE8Ro9Dd5CUDjW
Coldplay,Yellow,unknown,3AJwUDP919kvQ9QcozQPxg
Bruno Mars,God Was Showing Off,unknown,1sVBT215CDmVJvfy1E2OCU
"Rauw Alejandro, Bad Bunny",Qué Pasaría...,unknown,0l0vcZMU7AOeQmUIREoI2U
"El Bogueto, Yung Beef",Cuando No Era Cantante,unknown,6N2iccqxRInhTLHc2Fu3W0
Sabrina Carpenter,Espresso,unknown,2HRqTpkrJO5ggZyyK6NPWz
KATSEYE,Gabriela,unknown,1xOqGUkyxGQRdCvGpvWKmL
Fleetwood Mac,Dreams - 2004 Remaster,unknown,0ofHAoxe9vBkTCp2UQIavz
Jimin,Who,unknown,7tI8dRuH2Yc6RuoTjxo4dU
"Peso Pluma, Tito Double P",dopamina,unknown,3e32UUqXzrI4g2y5kNZrwC
BLACKPINK,JUMP,unknown,5H1sKFMzDeMtXwND3V6hRY
"The Weeknd, Daft Punk",Starboy,unknown,7MXVkk9YMctZqd1Srtv4MB
Coldplay,Sparks,unknown,7D0RhFcb3CrfPuTJ0obrod
"Ryan Castro, Kapo, Gangsta",LA VILLA,unknown,2ZyrAym0sRLwt4PhGotHuI
Harry Styles,As It Was,unknown,4Dvkj6JhhA12EX05fT7y2e
"ROSÉ, Bruno Mars",APT.,unknown,4wJ5Qq0jBN4ajy7ouZIV1c
Dominic Fike,White Keys,unknown,5ViLKrbyL3HD6wsq3AB9eI
"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,unknown,7d6yK8v8J484SWH5prIQiE
Teddy Swims,Lose Control,unknown,17phhZDn6oGtzMe56NuWvj
"Gorillaz, De La Soul",Feel Good Inc.,unknown,0d28khcov6AiegSCpG5TuT
"Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""",unknown,3GCdLUSnKSMJhs4Tj6CV3s
Vance Joy,Riptide,unknown,2uXlHCUbq9OMUwx3hrk06o
Arctic Monkeys,505,unknown,58ge6dfP91o9oXMzq3XkIS
Daniel Caesar,Who Knows,unknown,6DH13QYXK7lKkYHSU88N48
sombr,undressed,unknown,0TFTAtCYhp2tQ9KcJIZb55
Bruno Mars,Why You Wanna Fight?,unknown,3Ac4AjYkqsvop2ydbSAhTX
Addison Rae,Fame is a Gun,unknown,7B3BwNecBhKvNwSMOOl7Gk
Herencia De Grandes,Ya Borracho,unknown,4NyUIohBa3CEMGcXURYSOh
Linkin Park,In the End,unknown,60a0Rd6pjrkxjPbaKzXjfq
"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),unknown,2HRgqmZQC0MC7GeNuDIXHN
Bruno Mars,Dance With Me,unknown,1myZ6GQewhAzMH2dKtKSWK
Michael Jackson,Billie Jean,unknown,7J1uxwnxfQLu4APicE5Rnj
Nadhif Basalamah,kota ini tak sama tanpamu,unknown,13CwOTXUgBugeBByE9oIWb
Lord Huron,The Night We Met,unknown,5yJaXWIErrrsjQ3J0eR5aK
"Peso Pluma, Tito Double P",daño,unknown,136BeIIoBGrrU9fI1jbcDR
Bruno Mars,Just the Way You Are,unknown,7BqBn9nzAq8spo5e7cZ0dJ
Neton Vega,Pvta Luna,unknown,33MeEaRCeIQMSRyFTr5ZJU
Gracie Abrams,That’s So True,unknown,7ne4VBA60CxGM75vw0EYad
"W Sound, Beéle, Ovy On The Drums",La Plena - W Sound 05,unknown,6iOndD4OFo7GkaDypWQIou
The Marías,No One Noticed,unknown,3siwsiaEoU4Kuuc9WKMUy5
BLACKPINK,Champion,unknown,43BJVWcBzHRIDaQCg7abnX
"Peso Pluma, Tito Double P",7-3,unknown,4lzo6zPM2paqyP8oBp3DOs
Don Toliver,Body,unknown,0FlcmZ13DGRmscCroro9GO
Lenin Ramírez,Todo Lo Fue,unknown,0Sa8aRfGckW0qUGLrBwoBG
"The Weeknd, Playboi Carti",Timeless (feat Playboi Carti),unknown,0FIDCNYYjNvPVimz5icugS
Coldplay,Viva La Vida,unknown,1mea3bSkSGXuIRvnydlB5b
Lil Uzi Vert,What You Saying,unknown,7cjoZVmWe2xsGR4wcXiV2v
Bruno Mars,On My Soul,unknown,4i4BVY2JiH4mDSLIBdNGKD
"V, Park Hyo Shin",Winter Ahead (with PARK HYO SHIN),unknown,7G7mSV4BebkoHWwKTDvXu9
BLACKPINK,GO,unknown,3FZPp9lBUvhsxFxKJi3VkB
Jin,Don’t Say You Love Me,unknown,27xkOIER6uDLKALIelHylZ
A-Lin,幸福在歌唱 - 電影《陽光女子合唱團》幸福版主題曲,unknown,3VHi5bCUek6XdiDmqqrirs
Jimin,Who,unknown,7tI8dRuH2Yc6RuoTjxo4dU
Crowd Lu,太陽與地球,unknown,0bQSWXtpau3VkNI1ZcXTQA
Pei-Yu Hung,再見的時候 - 電影〈陽光女子合唱團〉主題曲-再見版,unknown,3IBYp3fKyydZ5dDtirLY6P
Hearts2Hearts,RUDE!,unknown,0WA27lZzPKFJKAbiDRmQDc
IVE,BANG BANG,unknown,7pBE8YpFoZ9ankC2Ci5z9X
BLACKPINK,Champion,unknown,43BJVWcBzHRIDaQCg7abnX
Khalil Fong,特別的人,unknown,0VTzUEuHYD8s7CgQ15cDPo
BLACKPINK,JUMP,unknown,5H1sKFMzDeMtXwND3V6hRY
V,Slow Dancing,unknown,5h1BN75CEh8wdSwE1xrbSe
