rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
113,"spotify:track:18AMT576rBlQFMzUTS7WBa","TWICE","THIS IS FOR","Republic Records - TWICE",6,113,34,"114944"
114,"spotify:track:0KWnRv3wxjltYVB3MqjNd2","高爾宣 OSN","Without You","史科特音樂股份有限公司 SKR Co., Ltd.",1,109,361,"114691"
115,"spotify:track:2JH8WubSk2IWYUDBUguSQv","A-Mei Chang","如果你也聽說","Mei Entertainment Ltd",61,93,19,"114684"
116,"spotify:track:4i0HNuFEH6P6K4UnsY5uUh","NMIXX","Blue Valentine","Republic Records - NMIXX",15,126,21,"113691"
117,"spotify:track:2s96YKKpfBUbQP3lJuhkfX","A-Lin","失戀無罪","Avex Taiwan Inc.",38,100,9,"113635"
118,"spotify:track:2IfSPLPDW6RGosdB5huwAA","G.E.M.","泡沫","Hummingbird Music Ltd.",61,79,284,"113608"
119,"spotify:track:57w29bSwdIZ6gr6xXOqwc1","Jay Chou","七里香","Universal Music Taiwan (JVR)",14,108,185,"113545"
120,"spotify:track:6f68Ac5tt5BQOpwr0BV9oN","Bruno Mars","I Just Might","Atlantic Records",36,-1,6,"112721"
121,"spotify:track:5cU1O9P0EDA0rPkPDykhIm","Eric Chou","怎麼了","Sony Music Entertainment",2,86,373,"112230"
122,"spotify:track:4vdX5mQE0oXkflFqsqQkUP","Leehom Wang","愛錯","寬魚國際股份有限公司",42,121,71,"112228"
123,"spotify:track:5xqM1HOndjxfH7NmyD8SVS","BABYMONSTER","Really Like You","YG Entertainment",89,118,11,"112016"
124,"spotify:track:3w71TlXbEeZeZcI7BtHy2G","艾薇 Ivy, 吳霏","我受夠了","REASON ENTERTAINMENT LTD.",88,124,12,"111818"
125,"spotify:track:301mxTHzMyFOVUXl6U22sf","EggPlantEgg","浪子回頭","WM Taiwan",3,97,317,"111495"
126,"spotify:track:580BvW3DyUNoYFgQgoD2GI","高爾宣 OSN, Patrick Brasca","Hold On","龍大謝音樂有限公司",1,119,78,"109931"
127,"spotify:track:6FIhcAp2lj45eFlUkTriAr","Juice Boy","一萬公里外的你","WM Taiwan",37,188,14,"109788"
128,"spotify:track:4yLirljV93Y0vIoERjeTv5","A-Mei Chang","掉了","Mei Entertainment Ltd",72,106,23,"109595"
129,"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","The Chainsmokers, Halsey","Closer","Disruptor Records/Columbia",1,169,245,"109240"
130,"spotify:track:4oE7MyJhqSD3BaHRpNs8Nl","Kenshi Yonezu, Hikaru Utada","JANE DOE","Sony Music Labels Inc.",4,132,24,"108237"
131,"spotify:track:6Wobsw9uZ0D0xkfOjxXSq9","ROSÉ, F1 The Album","Messy (From F1® The Movie)","Atlantic Records",5,151,43,"108164"
132,"spotify:track:5tZbcQ5PYID0xB0VNblmrK","Stefanie Sun","雨天","WM Taiwan",69,167,72,"108115"
133,"spotify:track:73Ijz3vN9KP1W5qrfNeWMI","玖壹壹","下輩子","Rock Records Co., Ltd.",97,112,5,"108063"
134,"spotify:track:7ks6KrwN2DKhEm06X85qEK","Amazing Show","捲菸","Bisiugroup",80,189,54,"107673"
135,"spotify:track:5Ek40FyMPprcvtyZDjqylX","TWICE","What is Love?","Republic Records - TWICE",11,127,45,"107473"
136,"spotify:track:4XrWar13kLO1jr535AzKrQ","Stefanie Sun","我不難過","WM Taiwan",55,-1,41,"107107"
137,"spotify:track:4OoExItZJ0jePoCZDbHx4t","Jay Chou","說好的幸福呢","Universal Music Taiwan (JVR)",33,123,80,"107025"
138,"spotify:track:2c6xH9usslUoHnOzsRhpcP","IVE","XOXZ","Starship Entertainment",5,103,28,"106553"
139,"spotify:track:3OC84eKMxRJ4x0Hcwl9i4i","Crowd Lu","刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Team Ear Music",1,131,216,"106346"
140,"spotify:track:1vfUASvUGt3gxQ1x3T3u1C","en王翊恩","嚣张","嗨库文化",8,130,324,"105853"
141,"spotify:track:69zgyr5HVKdInjeKpq1qHa","831","想見你想見你想見你 - 電視劇《想見你》片尾曲","Rock Records Co., Ltd.",1,156,245,"105465"
142,"spotify:track:7FyKqLLICVzwBiAUtbVYUW","ALLDAY PROJECT","ONE MORE TIME","THEBLACKLABEL",7,133,16,"104851"
143,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",1,191,444,"104831"
144,"spotify:track:2fc2vUA5H3mTAr9rQoBDKt","Zhang Zhen Yue","愛我別走","Rock Records Co., Ltd.",140,140,9,"104816"
145,"spotify:track:7KoqEF76fGnDYdxTSHLxcm","Jay Chou","一路向北","Universal Music Taiwan (JVR)",25,117,184,"104799"
146,"spotify:track:0KKkJNfGyhkQ5aFogxQAPU","Bruno Mars","That's What I Like","Atlantic Records",7,196,99,"103986"
147,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",5,120,37,"103900"
148,"spotify:track:1qbmS6ep2hbBRaEZFpn7BX","Olivia Dean","Man I Need","PLG - Capitol",114,136,17,"103079"
149,"spotify:track:1JLtvvPsHwLyd2ufASdkWV","阿涵, Ayo97","感谢你曾来过","汇音文化",54,148,138,"102639"
150,"spotify:track:5TkQbhQm9BXONk2agDo4w9","Khalil Fong","紅豆","WM Hong Kong",13,155,29,"102517"
151,"spotify:track:2dl3pNKU8pr0fcI4XrKcGF","IVE","Odd (GAEUL Solo)","Starship Entertainment",151,-1,1,"102448"
152,"spotify:track:3OXHwY8gI2QUh0QliXBwrI","David Tao","愛, 很簡單","Gold Typhoon Taiwan",41,141,84,"102388"
153,"spotify:track:2xYrGeWUjwGvB0KMAfUFSd","菲菲公主","第57次取消发送","坚诚文化",9,116,41,"102376"
154,"spotify:track:4DCB1S7G6SmH9qlDpEVIzP","Cheer Chen","太聰明","Rock Records Co., Ltd.",154,182,2,"101683"
155,"spotify:track:4IazYww9msi3dR81d9itO7","頑童Mj116","SPOTLIGHT","Rock Records Co., Ltd.",114,183,51,"101508"
156,"spotify:track:3SJgTyb8a7z66suw0kBZ0T","艾薇 Ivy","失重前幸福","Universal Music Taiwan",13,129,167,"101420"
157,"spotify:track:553GNiNqcudWfsF55RBDqz","Rainie Yang","雨愛","Epic",157,175,7,"100816"
158,"spotify:track:6T17ZI0glfM2IGLdUwtnLK","CORTIS","JoyRide","Republic Records – CORTIS",41,107,18,"100798"
159,"spotify:track:1kUyOJb3fzUo8r0OCz5SQk","JENNIE","Mantra","OA Entertainment/Columbia",2,105,73,"100663"
160,"spotify:track:7lCLZlVt6g4ifoHXpXEHZm","Shi Shi","少一點天份","Rock Records Co., Ltd.",99,122,9,"100618"
161,"spotify:track:5PpuqQ7vLG2e66SUpjUVYg","Amazing Show","心悶","AmazingShow CO., LTD.",106,-1,21,"100426"
162,"spotify:track:0c9gjnRGBRke9VmLaZWmhM","陈村长","爱怎么了","新坚诚文化",72,149,55,"100206"
163,"spotify:track:3AKYofM0vFekNthGbpjMpN","ZQS","这是你期盼的长大吗","鲸鱼向海",23,142,110,"100193"
164,"spotify:track:5EoV2HmAlkqN1XvsIjOBZZ","Hearts2Hearts","STYLE","SM Entertainment",38,-1,16,"99761"
165,"spotify:track:2CGNAOSuO1MEFCbBRgUzjd","Kendrick Lamar, SZA","luther (with sza)","pgLang, under exclusive license to Interscope Records",4,139,67,"99630"
166,"spotify:track:2wzXhxWPX0aODraKNXoJYY","Rene Liu","後來","Rock Records Co., Ltd.",143,143,4,"99584"
167,"spotify:track:4FhJ7YSRxATHnaRg4nGs6t","sodagreen","小情歌","F67林暐哲音樂社",46,147,330,"99281"
168,"spotify:track:4oELKeBS6hWwN3CTuN6acA","Ricky Hsiao","末班車","WM Taiwan",98,187,45,"99072"
169,"spotify:track:77Y69dj99sTYGAWule3nz8","Marz23, Faye 詹雯婷","不簡單的歌 (feat. Faye 詹雯婷)","WM Taiwan",44,157,11,"99062"
170,"spotify:track:4xeugB5MqWh0jwvXZPxahq","WOODZ","Drowning","EDAM Entertainment",44,-1,7,"99042"
171,"spotify:track:6FpUCVpLvO0QXwsovSfWEa","芒果醬 Mango Jump","我喜歡你","予浪創樂股份有限公司",40,145,90,"98945"
172,"spotify:track:4XipvtwRgtUrGb2j2l0wNG","JOLIN","倒帶","Epic",99,-1,22,"98935"
173,"spotify:track:5sYtvIl1mx9QuIgwC6FDU1","Eason Chan","淘汰","Cinepoly Records Co. Ltd.",54,135,112,"98926"
174,"spotify:track:4xZIMRwaaBx7CZMmM6KLuh","黃小琥","沒那麽簡單","WM Taiwan",148,154,14,"98702"
175,"spotify:track:0mGNDAW085Jkn8IbEalZG3","Ronghao Li, A-Mei Chang","對等關係 (feat. 張惠妹)","WM Taiwan",11,-1,109,"98481"
176,"spotify:track:5sjnkOfTLCLNfkkchI2re2","aespa","UP - KARINA Solo","SM Entertainment",3,152,70,"98275"
