rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
128,"spotify:track:1VHL1PIkhDwWbFc65xHwOr","Novelbright","愛とか恋とか","Universal Music LLC",7,134,203,"456454"
129,"spotify:track:5H1sKFMzDeMtXwND3V6hRY","BLACKPINK","JUMP","YG Entertainment",10,-1,30,"455546"
130,"spotify:track:4JK1kDUdH9RTBQrrSO1QfR","Yuuri","ベテルギウス","Sony Music Labels Inc.",1,135,226,"453291"
131,"spotify:track:1sgW7loPL1qtWOPimvm7X5","OFFICIAL HIGE DANDISM","Make Me Wonder","IRORI Records",60,122,9,"450944"
132,"spotify:track:3TJSJtYzjxRaDi0ULwwyTt","HANA","Tiger – HANA with HONEYs Ver.","Sony Music Labels Inc.",132,-1,1,"447651"
133,"spotify:track:1YXot2MLAG9sttepCtBRM7","Vaundy","踊り子","SDR Inc.",10,120,224,"445637"
134,"spotify:track:3oYD2O31b05fILFpv0AXRI","SUDA MASAKI","さよならエレジー","Sony Music Labels Inc.",1,140,372,"445166"
135,"spotify:track:7oYCBKvdjrqp5vDbhDBuac","Kenshi Yonezu","KICK BACK","Sony Music Labels Inc.",1,127,151,"444716"
136,"spotify:track:4oiJ7VynczppKs3oRObXSG","CANDY TUNE","BAIBAI FIGHT!","KAWAII LAB.",49,116,49,"441830"
137,"spotify:track:6H0PLsSYMzDOqhLgyOlzIj","Kenshi Yonezu","感電","Sony Music Labels Inc.",2,138,236,"441238"
138,"spotify:track:2UdvMWk0Z83lMJPbawy2Sm","Macaroni Empitsu","ブルーベリー・ナイツ","TALTO",69,130,300,"440363"
139,"spotify:track:24rDDbSlFY9OHrlJb48CRh","KiiiKiii","404 (New Era)","Starship Entertainment",110,151,5,"439930"
140,"spotify:track:7DyS11kB1YNrfDzQqtjmTh","HIRAIDAI","Stand by me, Stand by you.","avex trax",4,114,276,"437927"
141,"spotify:track:105cC947hT8ToEXt5ZN6qz","Takaya Kawasaki","ぬくもり","Warner Music D.N.A.",141,-1,1,"437888"
142,"spotify:track:4ETc1oFREuqQss7VQ1Y4mj","Vaundy","花占い","SDR Inc.",18,129,244,"436218"
143,"spotify:track:2ytQFMxdreEFPPZTtyDdqM","IVE","BLACKHOLE","Starship Entertainment",143,-1,1,"434463"
144,"spotify:track:5glPFBAuA1C85tBcVWVzvO","Fujii Kaze","Michi Teyu Ku (Overflowing)","Universal Music LLC",3,121,101,"433584"
145,"spotify:track:0JcI7OdALbpSFkyKoufRYs","Mrs. GREEN APPLE","ロマンチシズム","Universal Music LLC",12,132,314,"433218"
146,"spotify:track:5gjAdhfzftzFR7sriEYUCt","Saucy Dog","Itsuka","Universal Music LLC",51,133,285,"432647"
147,"spotify:track:7iXHLtPosbHvglVSJ4rxLq","GReeeeN","愛唄","Universal Music LLC",6,154,350,"427447"
148,"spotify:track:4rtJHOlUnGem3BQCVWfrjD","CHANMINA","花火","WM Japan",118,118,14,"427044"
149,"spotify:track:3ySFBoxNHK3YgU1D9AyMl3","CHANMINA, No No Girls FINALISTS","SAD SONG - From THE FIRST TAKE","THE FIRST TAKE MUSIC",34,126,18,"426747"
150,"spotify:track:1qaQyHIAzk6vAMEhACi0tH","ryo (supercell), Kaguya(cv.Yuko Natsuyoshi), Yachiyo Runami(cv.Saori Hayami)","World is Mine - Kaguya&Yachiyo Runami ver. - CPK! Remix","Cosmic Princess Kaguya!",150,190,4,"425957"
151,"spotify:track:5RIQU2JDuXC4NkLiHNNMon","Fujii Kaze","Hana","Universal Music LLC",7,149,124,"423342"
152,"spotify:track:4IfrM44LofE9bSs6TDZS49","Tani Yuuki","W / X / Y","Valley Records",1,148,219,"419446"
153,"spotify:track:7hDX39mc6Uf6zp8RXYUQ6d","Vaundy","napori","SDR Inc.",18,141,274,"416003"
154,"spotify:track:4wBFubvNAwVox8q4SYXHqU","GReeeeN","遥か","Universal Music LLC",151,-1,3,"413845"
155,"spotify:track:4ZIr1NSxVihtHcD6EnG65f","Saucy Dog","Cinderella Boy","Universal Music LLC",2,147,229,"412424"
156,"spotify:track:34ayWAUrQcrjlKZOJAzqke","back number","アイラブユー","Universal Music LLC",12,152,160,"412217"
157,"spotify:track:1LDxe7AgJ7DRYdV012EmyR","back number","日曜日","Universal Music LLC",148,172,10,"411785"
158,"spotify:track:6glcoO077gTGhgdVI9X5wA","Macaroni Empitsu","ミスター・ブルースカイ","TALTO",87,145,34,"410906"
159,"spotify:track:6kKvmT4i0Dercz6f3kftg3","Aimyon","Let the Night","WM Japan",1,165,189,"410619"
160,"spotify:track:31yv1hR9gw1WSEmtqsaZbD","Hikaru Utada","花束を君に","Universal Music LLC",11,192,100,"407464"
161,"spotify:track:2RMBCQdXkfFArpX3NIuuNm","neguse., 汐れいら","織姫とBABY","Sony Music Labels Inc.",8,137,32,"405917"
162,"spotify:track:29nEadzf4CqeLYzcf44zub","Koji Tamaki","ファンファーレ","Sony Music Labels Inc.",59,131,14,"405676"
163,"spotify:track:5I6JLJqnZICLvPebTj2YCm","ARASHI","Love So Sweet","Storm Labels Inc.",20,-1,92,"405234"
