rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
41,"spotify:track:59D4DOkspUbWyMmbAPQkxZ","Bad Bunny","VOY A LLeVARTE PA PR","Rimas Entertainment LLC.",4,40,61,"917821"
42,"spotify:track:6XXQA6e8qXPJ1sZtRxvbws","La La Love You, Axolotes Mexicanos","El Fin del Mundo","Subterfuge Records distributed by Altafonte",27,50,295,"904333"
43,"spotify:track:1k4Iyemx6P5fba7RRcHmeb","Delaossa, Quevedo, Bigla The Kid","Still Luvin","DALE PLAY Records",1,46,51,"894753"
44,"spotify:track:3vYFpgpkQF0EY5E9h9BF1r","Juseph, La Pantera, Lucho RK","CUPIDOxX","Juseph",10,44,20,"873556"
45,"spotify:track:7CMj1OOS1ho4CPEQTFKzcN","Young Cister, Kreamly","QLOO*","Sony Music Entertainment Chile S.A",3,69,41,"862691"
46,"spotify:track:6vRQqxOhUFd78p5tL8jXr7","Luck Ra, BM","La Morocha","Sony Music Entertainment Chile S.A",11,49,77,"861443"
47,"spotify:track:3qhlB30KknSejmIvZZLjOD","Djo","End of Beginning","Djo",5,45,24,"850648"
48,"spotify:track:4OsBqqMwFabHATATT527tH","Myke Towers, Quevedo","SOLEAO","WEA Latina",3,54,40,"850646"
49,"spotify:track:1CPZ5BxNNd0n0nF4Orb9JS","HUNTR/X, EJAE, AUDREY NUNA, REI AMI, KPop Demon Hunters Cast","Golden","K-Pop Demon Hunters",10,47,36,"850360"
50,"spotify:track:0FI11LoJ41qud3TkFEYlzI","Dei V, JC Reyes","NYX00 (with JC Reyes)","Encore Recordings",50,-1,1,"817529"
51,"spotify:track:6hFzA2zbArwtGpmTQEsxnn","La Pantera, Lucho RK, Pana YMB","PINKY PROMISE 2","Lucho RK, La Pantera",4,52,16,"815951"
52,"spotify:track:39L3LdlHS3gqB62HPWaJRg","Bad Bunny","NO ME QUIERO CASAR","Rimas Entertainment LLC",35,55,18,"806661"
53,"spotify:track:6SkbzQSYMJzrmmDBEvbh0S","Omar Courtz, KARBeats","EL MUNDO SE VA A ACABAR","Rimas Entertainment LLC.",24,24,11,"775197"
54,"spotify:track:73scB4Q4fcOmnsBVZPmk32","KAROL G","Si Antes Te Hubiera Conocido","Bichota/Interscope Records",1,64,89,"769177"
55,"spotify:track:18m5dJOPB2geFwOymXNaWg","Mora, De La Rose","AURORA","Rimas Entertainment LLC.",4,60,42,"764187"
56,"spotify:track:58l1aV1cOGrHMsm2j3GU2W","Juseph, Quevedo","CHUOS","Juseph",5,56,15,"751980"
57,"spotify:track:55ZSaezLr7fNrkLL0WCpOD","LAJA, JC Reyes","SETEADORA REMIX (with JC Reyes)","Encore Recordings",32,65,5,"749795"
58,"spotify:track:0l0vcZMU7AOeQmUIREoI2U","Rauw Alejandro, Bad Bunny","Qué Pasaría...","Sony Music Latin/Duars Entertainment",2,58,68,"748081"
59,"spotify:track:4uulymZhmebsjKedRaJ1gQ","rusowsky","malibU","Rusia-IDK/Warner Records",9,62,41,"730114"
60,"spotify:track:53iuhJlwXhSER5J2IYYv1W","Taylor Swift","The Fate of Ophelia","Taylor Swift",3,61,22,"722018"
61,"spotify:track:2mh6vP7zo6mDXXKLnpHLPt","SAIKO, SINAKA, Kennat, Benja Valencia","FLAITEERA","Sony Music Latin",61,-1,1,"718774"
62,"spotify:track:4rDCRcln8WCHWPRt0YTFLs","Aissa, Rvfv, Kreamly","MUCHACHA","AISSA",62,113,4,"709535"
63,"spotify:track:55lijDD6OAjLFFUHU9tcDm","RAYE","WHERE IS MY HUSBAND!","Human Re Sources",38,68,15,"702600"
64,"spotify:track:1oghNMGW42IhtQPNU6leZz","Omar Courtz","VAMOaCOCHI","Rimas Entertainment LLC.",53,53,2,"701471"
65,"spotify:track:6ifUES3keWjwXgae8pXI3o","Danny Ocean","Me Rehúso","Atlantic Records",2,71,374,"698361"
66,"spotify:track:5y2ijHECwFYWqcAHKTZgzD","Bruno Mars","Risk It All","Atlantic Records",66,-1,1,"684532"
67,"spotify:track:6l18mUHOGVZRr5wTyITX0M","Aitana","6 DE FEBRERO","Universal Music Spain S.L.",2,76,44,"676877"
68,"spotify:track:7mjWqfMjappj2v1Iw3rXeR","Kabasaki, Zeno El Faraón, l0rna, Kristina","LA SACAPUNTAS","Virgin Music Spain",59,66,6,"675860"
69,"spotify:track:4kJP8Z888wREJ8bRMWNMuk","Extremoduro","La vereda de la puerta de atrás","DRO/EastWest Spain",2,84,55,"675391"
