rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
84,"spotify:track:01qFKNWq73UfEslI0GvumE","Jung Kook, Jack Harlow","3D (feat. Jack Harlow)","BIGHIT MUSIC",2,-1,124,"78454"
85,"spotify:track:23WLgtD54AeluEPRr5muHo","Evangeline Wong","離開我的依賴","史科特音樂股份有限公司 SKR Co., Ltd.",52,55,23,"77666"
86,"spotify:track:1BxfuPKGuaTgP7aM0Bbdwr","Taylor Swift","Cruel Summer","Taylor Swift",1,78,185,"77356"
87,"spotify:track:2HRqTpkrJO5ggZyyK6NPWz","Sabrina Carpenter","Espresso","Island Records",1,68,99,"76820"
88,"spotify:track:1lcBt7LoEikqYmhUoa2cez","ROSÉ","number one girl","Atlantic Records",5,83,67,"76380"
89,"spotify:track:6W614n8yLUeS3zsZSeBwyq","yung kai","blue","BMG Rights Management (US) LLC",4,72,72,"76347"
90,"spotify:track:54PbBpquVfhfrwRwvjSXbI","Charlie Puth, Selena Gomez","We Don't Talk Anymore (feat. Selena Gomez)","Artist Partner",20,93,303,"76307"
91,"spotify:track:4vVTI94F9uJ8lHNDWKv0i2","Sean Kingston, Justin Bieber","Eenie Meenie","Epic/Beluga Heights",57,81,20,"75772"
92,"spotify:track:0ug5NqcwcFR2xrfTkc7k8e","Taylor Swift","Style","Taylor Swift",5,90,102,"75422"
93,"spotify:track:43iIQbw5hx986dUEZbr3eN","Laufey","From The Start","Laufey",25,85,114,"74887"
94,"spotify:track:2Jox8DFhnUpJZJWLsVAsAR","DIOR 大穎","人的這一生","Lost Control Sdn. Bhd.",80,80,2,"74706"
95,"spotify:track:1mea3bSkSGXuIRvnydlB5b","Coldplay","Viva La Vida","Parlophone UK",1,100,188,"74124"
96,"spotify:track:3cZajhyr8LmtPfHZ9296tj","Disco Lines, Tinashe","No Broke Boys","Nice Life/Atlantic",45,95,31,"73547"
97,"spotify:track:7BKLCZ1jbUBVqRi2FVlTVw","The Chainsmokers, Halsey","Closer","Disruptor Records/Columbia",1,105,402,"73536"
98,"spotify:track:6RUKPb4LETWmmr3iAEQktW","The Chainsmokers, Coldplay","Something Just Like This","Disruptor Records/Columbia",1,114,472,"73406"
99,"spotify:track:6fxVffaTuwjgEk5h9QyRjy","Ed Sheeran","Photograph","Atlantic Records UK",27,91,460,"73091"
100,"spotify:track:1XGmzt0PVuFgQYYnV2It7A","Maroon 5, Wiz Khalifa","Payphone","Interscope Records*",20,86,267,"72452"
101,"spotify:track:4rMNgxEwGWoPHIUcvB5BrB","Bruno Mars","It Will Rain","Elektra (NEK)",35,116,50,"72066"
102,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",1,73,235,"71452"
103,"spotify:track:5J4ZkQpzMUFojo1CtAZYpn","Ariana Grande, The Weeknd","Love Me Harder","Universal Records",94,94,10,"71126"
104,"spotify:track:4i4BVY2JiH4mDSLIBdNGKD","Bruno Mars","On My Soul","Atlantic Records",104,-1,1,"71101"
105,"spotify:track:3GCdLUSnKSMJhs4Tj6CV3s","Kendrick Lamar, SZA","All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther (TDE/DMG) PS",1,88,126,"69998"
106,"spotify:track:7D0RhFcb3CrfPuTJ0obrod","Coldplay","Sparks","Parlophone UK",17,92,61,"69786"
107,"spotify:track:2gug6MRv4xQFYi9LA3PJCS","Eric Chou","你，好不好？ - TVBS連續劇【遺憾拼圖】片尾曲","Sony Music Entertainment",23,96,480,"69708"
108,"spotify:track:05od2qm2MTSKCHxy1GBp5W","sombr","12 to 12","Warner Records",71,106,29,"69270"
109,"spotify:track:2LlOeW5rVcvl3QcPNPcDus","Daniel Caesar","Always","Republic Records",76,109,56,"69040"
110,"spotify:track:1JSTJqkT5qHq8MDJnJbRE1","The Police","Every Breath You Take","Polydor Records",44,101,28,"68814"
111,"spotify:track:0cQVqPuHQP4KEwc7ZUQmj6","The Neighbourhood","Sweater Weather","Columbia",47,120,260,"68384"
112,"spotify:track:0ll8uFnc0nANY35E0Lfxvg","Keane","Somewhere Only We Know","Universal-Island Records Ltd.",56,98,201,"68045"
113,"spotify:track:3xkHsmpQCBMytMJNiDf3Ii","Benson Boone","Beautiful Things","Night Street Records, Inc./Warner Records Inc.",9,107,110,"68003"
114,"spotify:track:6rY5FAWxCdAGllYEOZMbjW","Joji","SLOW DANCING IN THE DARK","88rising Music",27,110,105,"67984"
115,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",27,56,4,"67929"
116,"spotify:track:2KslE17cAJNHTsI2MI0jb2","Jung Kook","Standing Next to You","BIGHIT MUSIC",2,-1,117,"67846"
117,"spotify:track:5tlb0AxuzsMWL2GtEppXGX","Cup of Joe","Multo","Viva Records",38,89,47,"67815"
118,"spotify:track:46V2ciN6F5bxjQWityNhkY","LNGSHOT","Moonwalkin'","MORE VISION",19,79,7,"66946"
119,"spotify:track:0InIeZW4P6VO7dUGRM4AKH","The Marías","Sienna","Nice Life/Atlantic",45,84,30,"66684"
120,"spotify:track:5g7sDjBhZ4I3gcFIpkrLuI","Bruno Mars","Locked out of Heaven","Atlantic Records",6,179,88,"66551"
121,"spotify:track:4s3iUkYgh9gCeGYqCODrQe","于冬然","座位","海神音乐",32,112,39,"66550"
122,"spotify:track:24rDDbSlFY9OHrlJb48CRh","KiiiKiii","404 (New Era)","Starship Entertainment",122,131,4,"66310"
123,"spotify:track:59dLtGBS26x7kc0rHbaPrq","B.o.B, Bruno Mars","Nothin' on You (feat. Bruno Mars)","Rebel Rock/Grand Hustle/Atlantic",44,139,10,"66009"
124,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",9,126,153,"65951"
125,"spotify:track:5TFD2bmFKGhoCRbX61nXY5","Bad Bunny","NUEVAYoL","Rimas Entertainment LLC.",32,70,4,"65910"
126,"spotify:track:0tgVpDi06FyKpA1z0VMD4v","Ed Sheeran","Perfect","Atlantic Records UK",1,134,470,"65773"
127,"spotify:track:2tpWsVSb9UEmDRxAl1zhX1","OneRepublic","Counting Stars","Mosley / Interscope",66,155,221,"65759"
128,"spotify:track:1oAwsWBovWRIp7qLMGPIet","Cigarettes After Sex","Apocalypse","Partisan Records",28,108,190,"65543"
129,"spotify:track:161DnLWsx1i3u1JT05lzqU","Bruno Mars","Talking to the Moon","Atlantic Records",9,165,164,"65424"
130,"spotify:track:4WFfPxJv1KRekG6mxn837K","JISOO, ZAYN","EYES CLOSED (with ZAYN)","Warner Records",6,158,21,"65269"
131,"spotify:track:0ahuxmprOO8tfKpG5Sgkt2","王赫野, 姚晓棠","最后一页 - Live","独立发行",80,97,81,"65256"
132,"spotify:track:0eAuGrXyGFYwur9ARUe7LJ","Malcolm Todd","Earrings","Columbia",132,135,3,"64452"
133,"spotify:track:6QFCMUUq1T2Vf5sFUXcuQ7","Justin Bieber, Nicki Minaj","Beauty And A Beat","RBMG/Def Jam",91,117,79,"64409"
134,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",32,127,188,"64349"
135,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,163,152,"63997"
136,"spotify:track:0B7wvvmu9EISAwZnOpjhNI","Bruno Mars","When I Was Your Man","Atlantic Records",18,140,144,"63861"
137,"spotify:track:02sy7FAs8dkDNYsHp4Ul3f","Saja Boys, Andrew Choi, Neckwav, Danny Chung, KEVIN WOO, samUIL Lee, KPop Demon Hunters Cast","Soda Pop","K-Pop Demon Hunters",4,104,37,"63689"
138,"spotify:track:5UJbgR4XF4y1DvbkxEqe8S","Tate McRae","Sports car","RCA Records Label",14,115,58,"63613"
