rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
82,"El Americano 4KT, Kobby",The Flow's Son Black!,Colombia,6uLcqYE347zlvXD6rhiM4J,null,null,null,null,null,null,null,null,null,null,null
83,Dalmata,Dile a Tu Amiga,Colombia,3u2jlo9kygiIAq7SPVuw6S,null,null,null,null,null,null,null,null,null,null,null
84,"Kris R., GeezyDee, Prodmonja",BOBADITA,Colombia,52IeC2QBiJqk9jAR5gbe14,null,null,null,null,null,null,null,null,null,null,null
86,Yeison Jimenez,Ya No Mi Amor,Colombia,7qbPQqOYYMPdQqRqv7bNin,null,null,null,null,null,null,null,null,null,null,null
88,"Alzate, Yeison Jimenez",Mi Venganza,Colombia,3f4AsGGYt94t7g1lHcsa8D,null,null,null,null,null,null,null,null,null,null,null
90,"TURY, CARABIN3",CHUCHA,Colombia,01dFxiEOMTTzim5J3kytjA,null,null,null,null,null,null,null,null,null,null,null
92,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Colombia,3mg9jYNC1NihbthlglzrWP,null,null,null,null,null,null,null,null,null,null,null
93,Yeison Jimenez,El Mejor Caballo,Colombia,4Udf3NPZZVggwmVXHcjuqA,null,null,null,null,null,null,null,null,null,null,null
94,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,Colombia,72q1JMsCJbKNbWgzipGi6x,null,null,null,null,null,null,null,null,null,null,null
97,"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,Colombia,5HCk7iruzhQ1FbxyS3igmM,null,null,null,null,null,null,null,null,null,null,null
100,"Tony Dize, Yandel",Permítame,Colombia,6OaGIYcVzx5c7aEKkuYS1M,null,null,null,null,null,null,null,null,null,null,null
101,"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,Colombia,569xAmXCkpM3IsEOiG4hWe,null,null,null,null,null,null,null,null,null,null,null
102,"Topboy TGR, Kzadores",MÁS DE AHÍ,Colombia,4ATzrqMF84B9iSCGUUqfTT,null,null,null,null,null,null,null,null,null,null,null
103,Yeison Jimenez,Se Acabó,Colombia,2T6BBNQW4t81x2ddqWrGzs,null,null,null,null,null,null,null,null,null,null,null
104,"Blessd, Anuel AA, Kris R., Young Fatty, CARABIN3, GeezyDee, TURY","BUENOS DIAS (feat. Tury, GeezyDee, CARABIN3)",Colombia,10B0cONtHL7b8hdMRE2Du6,null,null,null,null,null,null,null,null,null,null,null
106,Fuerza Regida,Marlboro Rojo,Colombia,3hpm0fTeSqlhJbnqAgaLZs,null,null,null,null,null,null,null,null,null,null,null
107,Frankie Ruiz,Tú Con Él,Colombia,6cHHrFD3fmBG9MR3k8kvep,null,null,null,null,null,null,null,null,null,null,null
108,"KAROL G, Marco Antonio Solís",Coleccionando Heridas,Colombia,3ddJ8Vbc5tYPxq5zKRVke6,null,null,null,null,null,null,null,null,null,null,null
110,Yeison Jimenez,Ni Tengo Ni Necesito,Colombia,6829KtrgNt2ZwrsE19nTEd,null,null,null,null,null,null,null,null,null,null,null
111,"Kris R., Blessd",Las Piponas (Remix),Colombia,281YJmnThveWjsWVic9Ym6,null,null,null,null,null,null,null,null,null,null,null
112,Luister La Voz,Amarte más no pude - En vivo,Colombia,1OHj2WRXOR9XdCV6PuptXv,null,null,null,null,null,null,null,null,null,null,null
113,"Blessd, Kris R.",POLOS OPUESTOS REMIX - BLESSD VERSION,Colombia,2ALQyXMC26Vew7JX7ert9M,null,null,null,null,null,null,null,null,null,null,null
115,Yeison Jimenez,Qué Día Es Hoy,Colombia,5PB1ITleNasy7UMYEaBWkL,null,null,null,null,null,null,null,null,null,null,null
117,"Kris R., Blessd",COSITAS,Colombia,3ClyThLf2bguwdMcm7hqZ2,null,null,null,null,null,null,null,null,null,null,null
118,"Blessd, Sebastian Ledher, Tayson Kryss, Joseph Ren",UNA NOCHE DE LOCURA,Colombia,2tKVinInf0PJS1iG04zzqi,null,null,null,null,null,null,null,null,null,null,null
120,"Don Omar, Kendo Kapponi",RX,Colombia,3NgDulHteTVdF026IxY5bW,null,null,null,null,null,null,null,null,null,null,null
121,Willie Colón,Oh Qué Será?,Colombia,2n1MTLCis6qPSDKdr5XSDI,null,null,null,null,null,null,null,null,null,null,null
122,Blessd,Palabras Sobran,Colombia,4wu7jIeJCUhQJaXsXVit0e,null,null,null,null,null,null,null,null,null,null,null
124,ARIA VEGA,AY MAMA (mi tiburón),Colombia,7yHZ66udwjeUafGohI7T46,null,null,null,null,null,null,null,null,null,null,null
125,Yeison Jimenez,Aventurero,Colombia,0ftcn4ddKESqQMA784Ebc0,null,null,null,null,null,null,null,null,null,null,null
126,Willie Colón,Gitana,Colombia,4VTb5wB46sZDsfL8XgroGt,null,null,null,null,null,null,null,null,null,null,null
127,Tito Rojas,Siempre Sere,Colombia,4ZGk5h0sIfeunWEKzXEoHr,null,null,null,null,null,null,null,null,null,null,null
129,Yiyo Sarante,Corazon de Acero,Colombia,21nc3O8OncUv1jjSrC1ML2,null,null,null,null,null,null,null,null,null,null,null
130,GeezyDee,El Peor Hombre Del Mundo,Colombia,0TBFzXKWtoF7Lwh0LKFt8f,null,null,null,null,null,null,null,null,null,null,null
131,Yiyo Sarante,Manos de Tijera,Colombia,5ds1Hh3lo4JUF2vflqyayK,null,null,null,null,null,null,null,null,null,null,null
132,Frankie Ruiz,Deseándote,Colombia,0FsXZAMf6NACvNJ2LI6ySp,null,null,null,null,null,null,null,null,null,null,null
133,"Pipe Bueno, Jessi Uribe, Yeison Jimenez, Carín León, Alzate, Darío Gómez, Luis Alberto Posada, El Charrito Negro, Jhonny Rivera, Jhon Alex Castaño, Juan Pablo Navarrete",Guaro (Remix),Colombia,5sMHuOIvtsSuFZafTcF19Q,null,null,null,null,null,null,null,null,null,null,null
135,"Grupo Frontera, Grupo Firme",EL AMOR DE SU VIDA,Colombia,34vXRJ2bCSFiZKQzVUYVOb,null,null,null,null,null,null,null,null,null,null,null
136,Yeison Jimenez,Te Voy a Olvidar,Colombia,6jbDhMUR3Hc3yVPT2tEVxY,null,null,null,null,null,null,null,null,null,null,null
137,"W Sound, Myke Towers, Ovy On The Drums",5 Estrellas - W Sound 23,Colombia,7hYlC6s0SXSIwtFlW6NgjT,null,null,null,null,null,null,null,null,null,null,null
139,Grupo Niche,Sin Sentimientos,Colombia,7xDwU3I38ReireLvv79h63,null,null,null,null,null,null,null,null,null,null,null
140,"Yeison Jimenez, Pasabordo",Hasta La Madre,Colombia,1nDvFYTsaQwxt5CTk7LJ5E,null,null,null,null,null,null,null,null,null,null,null
