rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
16,"Blessd, Ovy On The Drums",AMISTA,Colombia,1kJyDcBrZ7rSKnFtKc82vm,love,0.0847,0.0375,0.0091,0.0192,0.077,0.0356,0.0132,0.0167,0.2634,0.0484,0.0148,0.0063,0.0017,0.0078,0.0034,0.0029,0.004,0.0191,0.4496,0.0039,0.0632,0.0024,0.0162,0.0024,0.0121,0.0789,0.003,0.0855,love,0.0855
18,Yeison Jimenez,Por Qué la Envidia,Colombia,433eYQkvCgJKXh1o7LtplV,neutral,0.0008,0.0006,0.015,0.0857,0.0102,0.0056,0.0237,0.0137,0.0021,0.1445,0.0199,0.0083,0.0094,0.0007,0.1002,0.0001,0.003,0.0008,0.0006,0.0321,0.0053,0.0004,0.0208,0.0009,0.0023,0.0864,0.003,0.4448,disappointment,0.4448
19,"Fuerza Regida, Grupo Frontera",COQUETA,Colombia,1PREzVLuDT6PSE9sej4wnV,sadness,0.0013,0.0012,0.0115,0.044,0.0245,0.0084,0.0436,0.0553,0.0529,0.25,0.0112,0.0061,0.0051,0.0041,0.0121,0.0002,0.0116,0.0042,0.0567,0.0293,0.0063,0.0005,0.0335,0.0022,0.0152,0.5736,0.0088,0.1415,sadness,0.1415
20,"Blessd, Ovy On The Drums","""EMHDM""",Colombia,5NbIHx26LyFkW2oSNSCYBV,love,0.0087,0.0011,0.0124,0.0178,0.1591,0.0223,0.014,0.0367,0.0423,0.0456,0.0428,0.0039,0.0013,0.0036,0.0022,0.0011,0.002,0.0056,0.7649,0.0021,0.0234,0.0007,0.0158,0.0011,0.0055,0.0507,0.0018,0.1112,love,0.1112
21,"Ryan Castro, Dongo",SANKA,Colombia,46ufabZP6oK3ixmN6Gd753,neutral,0.0083,0.0146,0.0026,0.0106,0.0636,0.0007,0.0019,0.001,0.0019,0.009,0.0074,0.0046,0.0026,0.0189,0.0021,0.0002,0.0008,0.0192,0.1681,0.0009,0.0014,0.0014,0.0266,0.0013,0.0006,0.004,0.0053,0.5923,love,0.5923
22,Bad Bunny,DtMF,Colombia,3sK8wGT43QFpWrvNQsrQya,love,0.03,0.018,0.0059,0.0091,0.0462,0.0093,0.0114,0.0135,0.2373,0.0091,0.0079,0.0028,0.0011,0.0224,0.0012,0.3092,0.0011,0.1047,0.796,0.0016,0.0381,0.002,0.0073,0.0024,0.0043,0.0057,0.0017,0.0268,love,0.0268
23,"Kapo, Ryan Castro",DÓNDE,Colombia,4zqFA9MOG86u7uugR8QFDU,love,0.0936,0.0028,0.0024,0.0042,0.0794,0.0053,0.0229,0.2546,0.0157,0.0015,0.0025,0.0009,0.0003,0.0207,0.0009,0.0007,0.0003,0.0094,0.3394,0.0006,0.0089,0.0004,0.0049,0.0005,0.0006,0.0013,0.0029,0.3003,love,0.3003
24,"J Balvin, Bad Bunny",LA CANCIÓN,Colombia,0fea68AdmYNygeTGI4RC18,neutral,0.0022,0.0785,0.0038,0.0295,0.0169,0.0021,0.0459,0.0173,0.0128,0.0492,0.005,0.0052,0.0123,0.016,0.0256,0.0007,0.0063,0.1237,0.0051,0.0356,0.0068,0.0018,0.194,0.0106,0.0035,0.0634,0.0336,0.379,realization,0.379
25,Omar Courtz,POR SI MAÑANA NO ESTOY,Colombia,595wwjQiad6e6lSTScmXvz,sadness,0.0028,0.0025,0.0175,0.0322,0.0135,0.047,0.0551,0.1067,0.1497,0.1956,0.0131,0.0061,0.0042,0.0043,0.0107,0.0009,0.011,0.0066,0.4131,0.0188,0.1262,0.0005,0.0164,0.002,0.0345,0.4372,0.0076,0.0608,sadness,0.0608
26,Arcángel,Por Amar A Ciegas,Colombia,2BrfJdTXohQRtWBKsBTIp0,love,0.0034,0.0007,0.0101,0.0336,0.0835,0.0059,0.0082,0.0072,0.0099,0.0894,0.0104,0.0043,0.0028,0.0013,0.0027,0.0001,0.0021,0.0017,0.3111,0.0034,0.0071,0.0005,0.0593,0.001,0.0044,0.0808,0.0021,0.2498,love,0.2498
27,Kapo,UWAIE,Colombia,0fMjldiEpgjbWQ4bBQwVzH,love,0.6634,0.0007,0.0034,0.0051,0.1141,0.0109,0.0034,0.0077,0.0561,0.0056,0.0061,0.002,0.0005,0.0085,0.0008,0.0016,0.0006,0.013,0.7193,0.0005,0.013,0.0021,0.0057,0.0009,0.0009,0.0038,0.0014,0.0217,love,0.0217
28,Yeison Jimenez,Vete,Colombia,6cZcn282SIMmuO8FHN8634,sadness,0.0043,0.0027,0.0174,0.0218,0.0113,0.0357,0.0295,0.0923,0.0202,0.1452,0.0136,0.006,0.0025,0.0027,0.0088,0.0013,0.0361,0.004,0.0661,0.0166,0.0071,0.0004,0.0119,0.0019,0.0333,0.8975,0.0046,0.0362,sadness,0.0362
29,Lenin Ramírez,Todo Lo Fue,Colombia,0Sa8aRfGckW0qUGLrBwoBG,sadness,0.0086,0.0043,0.0202,0.0331,0.0193,0.0298,0.0011,0.0019,0.1241,0.1141,0.0096,0.0064,0.0022,0.0094,0.0033,0.0011,0.015,0.0877,0.1767,0.0081,0.0109,0.0027,0.0131,0.0068,0.0057,0.584,0.0025,0.0492,sadness,0.0492
30,Bad Bunny,EoO,Colombia,6J5kc12BW5HuP3d7C3vvx8,neutral,0.0029,0.0125,0.009,0.051,0.0447,0.0038,0.0007,0.0006,0.0043,0.0052,0.0067,0.0034,0.0011,0.0044,0.0008,0.0003,0.0004,0.014,0.0193,0.0004,0.0031,0.001,0.0087,0.0011,0.0004,0.002,0.0006,0.8465,annoyance,0.8465
31,ARIA VEGA,CHÉVERE (joesón_type_beat),Colombia,5OQCghydcEeA76eGdJ6GEa,love,0.0036,0.0058,0.1554,0.2019,0.0322,0.023,0.0679,0.0921,0.0138,0.0209,0.0381,0.0087,0.0067,0.0088,0.0049,0.0004,0.0016,0.0145,0.4125,0.0057,0.0075,0.0006,0.0104,0.0012,0.0026,0.0167,0.0079,0.1971,love,0.1971
