rank,artist,title,region,spotify_uri,dominant_emotion,emotion_admiration,emotion_amusement,emotion_anger,emotion_annoyance,emotion_approval,emotion_caring,emotion_confusion,emotion_curiosity,emotion_desire,emotion_disappointment,emotion_disapproval,emotion_disgust,emotion_embarrassment,emotion_excitement,emotion_fear,emotion_gratitude,emotion_grief,emotion_joy,emotion_love,emotion_nervousness,emotion_optimism,emotion_pride,emotion_realization,emotion_relief,emotion_remorse,emotion_sadness,emotion_surprise,emotion_neutral,dominant_emotion_emotive,neutral_score
25,BLACKPINK,Me and my,Taiwan,5MXcM263QvCTWriH3nVusc,amusement,0.1347,0.4501,0.0016,0.0098,0.0831,0.0012,0.001,0.0012,0.0011,0.0017,0.0031,0.0013,0.0006,0.0061,0.0003,0.0007,0.0002,0.05,0.0084,0.0002,0.0042,0.0014,0.008,0.0011,0.0002,0.0005,0.0008,0.3066,amusement,0.3066
26,KiiiKiii,404 (New Era),Taiwan,24rDDbSlFY9OHrlJb48CRh,neutral,0.0086,0.0076,0.0012,0.0066,0.2796,0.0048,0.0022,0.0044,0.0039,0.0012,0.0021,0.0006,0.0004,0.029,0.0007,0.0003,0.0003,0.0429,0.0031,0.0008,0.0121,0.0014,0.0142,0.0034,0.0002,0.0007,0.0012,0.7164,approval,0.7164
27,Bestards,離開的一路上,Taiwan,1NoDTQhJsrd5rnpb6PQthK,neutral,0.0118,0.0007,0.0017,0.0086,0.0564,0.0017,0.001,0.0013,0.0019,0.0039,0.0036,0.0021,0.0004,0.0013,0.0008,0.0004,0.0003,0.0006,0.0015,0.0002,0.0046,0.0005,0.0095,0.0003,0.0003,0.0019,0.0005,0.9264,approval,0.9264
28,Crowd Lu,一夜一夜一夜,Taiwan,3wofqqt5YJWdhLI9IFaX39,neutral,0.0046,0.0006,0.0023,0.01,0.059,0.0015,0.0104,0.0112,0.0016,0.004,0.0048,0.0024,0.0006,0.0011,0.0012,0.0002,0.0003,0.0004,0.002,0.0004,0.0053,0.0002,0.0163,0.0002,0.0003,0.0016,0.0014,0.8741,approval,0.8741
31,"i-dle, skaiwater",Mono (feat. skaiwater),Taiwan,3VxmXJ4FdtbWI27p3Gx4Wh,neutral,0.0018,0.0021,0.005,0.0106,0.0384,0.0183,0.063,0.1576,0.004,0.0111,0.0137,0.0021,0.0052,0.0016,0.0023,0.0007,0.0016,0.0023,0.042,0.0024,0.0057,0.0003,0.0115,0.0009,0.1154,0.0251,0.0014,0.5662,curiosity,0.5662
32,EggPlantEgg,閣愛妳一擺,Taiwan,4Zwn8WxD61diTwqv9hyTQA,neutral,0.0044,0.001,0.0016,0.0057,0.0439,0.001,0.0073,0.0099,0.0013,0.0029,0.0038,0.0019,0.0005,0.0015,0.0009,0.0003,0.0002,0.0005,0.0029,0.0002,0.0037,0.0002,0.0114,0.0002,0.0003,0.0015,0.0012,0.9171,approval,0.9171
33,Stefanie Sun,遇見,Taiwan,3xJK8ywApYVEYIDhymYMC6,neutral,0.0036,0.0014,0.0008,0.0038,0.141,0.0016,0.004,0.0053,0.0091,0.0019,0.0023,0.001,0.0003,0.0069,0.0011,0.0004,0.0002,0.0014,0.0025,0.0004,0.0315,0.0005,0.0184,0.0005,0.0003,0.0008,0.0011,0.8611,approval,0.8611
34,CORTIS,GO!,Taiwan,6OWWZtNQORY1McaZmOrwhc,neutral,0.0048,0.0036,0.0032,0.055,0.1348,0.0019,0.0006,0.0008,0.0174,0.0162,0.0103,0.0029,0.0008,0.0113,0.001,0.0002,0.0004,0.0061,0.0007,0.0007,0.0109,0.0015,0.015,0.0018,0.0002,0.0025,0.0008,0.7245,approval,0.7245
35,Stefanie Sun,我懷念的,Taiwan,7z2M7DsEjZjwXBkWG3zd21,neutral,0.0036,0.0012,0.0016,0.0079,0.0386,0.0007,0.0077,0.0092,0.001,0.0033,0.0035,0.0023,0.0009,0.0023,0.0013,0.0002,0.0003,0.0007,0.0018,0.0004,0.0027,0.0002,0.0161,0.0003,0.0003,0.0017,0.0025,0.8971,approval,0.8971
36,ROSÉ,toxic till the end,Taiwan,1z5ebC9238uGoBgzYyvGpQ,neutral,0.0027,0.0008,0.0261,0.2106,0.027,0.003,0.0032,0.0058,0.0041,0.243,0.0184,0.0128,0.0048,0.0011,0.0019,0.0001,0.002,0.0012,0.0025,0.0023,0.0022,0.0005,0.0161,0.0007,0.0015,0.0889,0.0011,0.5048,disappointment,0.5048
37,BABYMONSTER,PSYCHO,Taiwan,491ca80N1C63tpoLvAsLKb,neutral,0.0012,0.0057,0.008,0.0547,0.0334,0.0008,0.0085,0.0117,0.0019,0.0036,0.0055,0.0024,0.0008,0.0088,0.0016,0.0001,0.0002,0.0038,0.0006,0.0007,0.0032,0.0003,0.0112,0.0005,0.0001,0.0008,0.0043,0.8744,annoyance,0.8744
38,Khalil Fong,愛愛愛,Taiwan,59lBAMCis4C6NsPdUV35Vz,neutral,0.0054,0.0044,0.0015,0.0064,0.0459,0.0005,0.0032,0.006,0.0015,0.0023,0.0017,0.0023,0.0012,0.0192,0.0021,0.0002,0.0003,0.003,0.0027,0.0006,0.0028,0.0006,0.0196,0.0005,0.0002,0.0011,0.008,0.8839,approval,0.8839
41,Bestards,不是因為天氣晴朗才愛你,Taiwan,2VEt42QSQxILgEf9B50xxm,neutral,0.0047,0.0006,0.0035,0.0121,0.0668,0.0017,0.0239,0.0516,0.0016,0.0035,0.0065,0.0017,0.0006,0.0012,0.0008,0.0002,0.0002,0.0005,0.0016,0.0003,0.0062,0.0002,0.0129,0.0002,0.0002,0.0013,0.0019,0.7659,approval,0.7659
42,aespa,Whiplash,Taiwan,7Cnpb1vBbC46RgVyyKLH7p,admiration,0.5127,0.0008,0.0044,0.0184,0.4099,0.0069,0.0112,0.0486,0.004,0.01,0.0082,0.0012,0.0006,0.0187,0.0031,0.0003,0.0006,0.0041,0.0037,0.0018,0.0278,0.004,0.0213,0.002,0.0002,0.002,0.0058,0.1527,admiration,0.1527
43,Amazing Show,愛情的大壞蛋,Taiwan,5HVq8nS0pbM6G7YK8M7DY4,neutral,0.0036,0.0008,0.0018,0.0068,0.0472,0.0013,0.0049,0.0048,0.0012,0.0031,0.0044,0.0023,0.0005,0.0011,0.0012,0.0003,0.0003,0.0005,0.0023,0.0003,0.0035,0.0002,0.012,0.0002,0.0003,0.0018,0.0008,0.9284,approval,0.9284
44,Jay Chou,晴天,Taiwan,5pIcwtJYNJx93l420oR2Vm,desire,0.0023,0.0021,0.0072,0.0203,0.0102,0.0091,0.0144,0.0253,0.5937,0.1751,0.0133,0.0078,0.0027,0.0065,0.0063,0.0007,0.005,0.0061,0.3059,0.0111,0.0369,0.0006,0.0171,0.0016,0.012,0.1668,0.0081,0.0805,desire,0.0805
47,BABYMONSTER,WE GO UP,Taiwan,1tonXoW6dcb7GGNpec3PTl,neutral,0.039,0.0099,0.0034,0.0095,0.0663,0.0015,0.0036,0.0071,0.0021,0.0035,0.0061,0.0031,0.0019,0.0968,0.0764,0.0002,0.0008,0.0144,0.0087,0.0043,0.0058,0.0024,0.0201,0.0017,0.0002,0.0017,0.0306,0.5186,excitement,0.5186
48,"Jay Chou, Lara Liang",珊瑚海,Taiwan,3Qj9Fy8BPbWmICTiNkuqB7,neutral,0.0018,0.0028,0.0026,0.0091,0.0195,0.001,0.0023,0.0016,0.0012,0.0038,0.0043,0.0028,0.0008,0.0018,0.0014,0.0003,0.0004,0.0015,0.0015,0.0004,0.0017,0.0003,0.0086,0.0003,0.0003,0.0026,0.0008,0.9563,approval,0.9563
50,ILLIT,NOT CUTE ANYMORE,Taiwan,1k0JAiH11gHL9dc5dfQjQr,disappointment,0.007,0.002,0.0128,0.1095,0.0236,0.0023,0.0335,0.0144,0.0025,0.4827,0.385,0.0101,0.0166,0.0087,0.0072,0.0003,0.0023,0.0084,0.0246,0.0148,0.002,0.0009,0.0215,0.0026,0.0034,0.072,0.0088,0.0626,disappointment,0.0626
51,张远,看着我的眼睛说,Taiwan,7d6eShN6yVeR4Y2Md9uCA4,neutral,0.0038,0.0009,0.0014,0.0056,0.0652,0.0015,0.004,0.0035,0.0014,0.0025,0.0034,0.0018,0.0004,0.0012,0.001,0.0004,0.0003,0.0005,0.0026,0.0003,0.0045,0.0002,0.0135,0.0003,0.0003,0.0015,0.0007,0.9238,approval,0.9238
52,Stefanie Sun,開始懂了,Taiwan,68tZwwRuo9ip5gRQFG1XWF,neutral,0.0064,0.0006,0.0022,0.0081,0.0814,0.0017,0.0172,0.0229,0.0018,0.0034,0.0057,0.0018,0.0005,0.0015,0.0011,0.0002,0.0003,0.0005,0.0022,0.0004,0.0061,0.0003,0.0162,0.0003,0.0003,0.0014,0.0016,0.8248,approval,0.8248
54,LBI利比,Jumping Machine (跳楼机),Taiwan,1XZE0InCx3SdCnLpVsPpZl,sadness,0.0039,0.0028,0.0087,0.0354,0.0223,0.0273,0.1359,0.1787,0.0088,0.2364,0.0133,0.0038,0.0066,0.0045,0.0825,0.0004,0.0176,0.0055,0.0179,0.203,0.0094,0.0006,0.0446,0.0036,0.0203,0.6188,0.0097,0.0532,sadness,0.0532
55,Bruno Mars,Risk It All,Taiwan,5y2ijHECwFYWqcAHKTZgzD,approval,0.034,0.002,0.0027,0.0132,0.5711,0.0283,0.0009,0.0034,0.1002,0.0024,0.0067,0.0014,0.0003,0.0335,0.0012,0.0007,0.0004,0.0078,0.0134,0.0006,0.0832,0.003,0.0084,0.0023,0.0004,0.0008,0.001,0.2708,approval,0.2708
57,EggPlantEgg,浪流連,Taiwan,1IS0WFyiVpwsATeSzjEvpI,neutral,0.004,0.0006,0.0035,0.0105,0.171,0.0049,0.0012,0.0013,0.0066,0.0029,0.006,0.0023,0.0003,0.0015,0.0028,0.0003,0.0003,0.0005,0.0015,0.0004,0.033,0.0005,0.0129,0.0004,0.0003,0.0021,0.0005,0.8248,approval,0.8248
59,Djo,End of Beginning,Taiwan,3qhlB30KknSejmIvZZLjOD,neutral,0.0009,0.0138,0.0013,0.0107,0.0815,0.0551,0.0772,0.0563,0.0031,0.0194,0.0108,0.0008,0.0017,0.0016,0.0056,0.0003,0.003,0.0143,0.0026,0.0176,0.0347,0.0004,0.0455,0.0056,0.0054,0.0572,0.0018,0.4524,approval,0.4524
60,"PinkPantheress, Zara Larsson",Stateside + Zara Larsson,Taiwan,1DwscornXpj8fmOmYVlqZt,amusement,0.084,0.8475,0.0019,0.0056,0.0503,0.0048,0.0558,0.1303,0.0051,0.002,0.0039,0.0013,0.0012,0.0324,0.0014,0.0012,0.0006,0.1652,0.0114,0.0023,0.0265,0.0009,0.0131,0.0029,0.001,0.002,0.0054,0.0486,amusement,0.0486
62,"Firdhaus, DIOR 大穎",在加納共和國離婚,Taiwan,6GyUt7yJ0sOktc5HjvVnFh,neutral,0.0041,0.001,0.002,0.0068,0.09,0.0026,0.1011,0.2849,0.0017,0.0018,0.0037,0.0009,0.0004,0.0019,0.0012,0.0003,0.0003,0.0007,0.003,0.0005,0.0072,0.0001,0.0135,0.0003,0.0004,0.0013,0.003,0.6447,curiosity,0.6447
64,Jay Chou,楓,Taiwan,1pALOIA4ytESmhl7Fxjdic,neutral,0.0017,0.0028,0.0031,0.0091,0.0183,0.0011,0.0023,0.0015,0.0013,0.0039,0.0044,0.0028,0.0008,0.0017,0.0015,0.0003,0.0004,0.0016,0.0018,0.0004,0.0016,0.0003,0.008,0.0003,0.0003,0.003,0.0008,0.956,approval,0.956
67,Taylor Swift,The Fate of Ophelia,Taiwan,53iuhJlwXhSER5J2IYYv1W,neutral,0.0034,0.0007,0.0168,0.0394,0.0365,0.0693,0.0005,0.0003,0.0129,0.0145,0.0056,0.0041,0.001,0.0012,0.0038,0.0008,0.0025,0.005,0.0089,0.0019,0.0094,0.0018,0.0106,0.0029,0.0018,0.0342,0.0004,0.7544,caring,0.7544
68,LNGSHOT,Moonwalkin',Taiwan,46V2ciN6F5bxjQWityNhkY,neutral,0.0049,0.0017,0.0016,0.006,0.0946,0.0156,0.0013,0.0047,0.2448,0.0028,0.0017,0.0015,0.0004,0.0511,0.0012,0.001,0.0005,0.0121,0.094,0.0012,0.0144,0.001,0.0063,0.0015,0.0008,0.0024,0.0014,0.4026,desire,0.4026
69,"ROSÉ, Bruno Mars",APT.,Taiwan,4wJ5Qq0jBN4ajy7ouZIV1c,neutral,0.0025,0.0043,0.0021,0.006,0.0356,0.0075,0.0076,0.0859,0.0286,0.0012,0.001,0.0007,0.0003,0.0378,0.0011,0.0004,0.0003,0.0099,0.0109,0.0008,0.0103,0.0003,0.0028,0.0007,0.0004,0.001,0.0021,0.7481,curiosity,0.7481
70,G.E.M.,多遠都要在一起,Taiwan,55d0jw269HE9pbOt5ntCo8,neutral,0.0053,0.0007,0.0022,0.0082,0.0595,0.0013,0.0082,0.0086,0.0016,0.0038,0.0042,0.0024,0.0005,0.0013,0.0014,0.0003,0.0003,0.0004,0.0025,0.0004,0.0042,0.0002,0.0142,0.0002,0.0002,0.0019,0.0012,0.8832,approval,0.8832
71,Joker Xue,演员,Taiwan,5Sib99jpYybZAicUMETb3h,love,0.0291,0.0013,0.0117,0.0209,0.0804,0.14,0.0508,0.2204,0.0223,0.0307,0.043,0.0029,0.0015,0.005,0.0056,0.002,0.0028,0.0283,0.6186,0.0081,0.0208,0.0013,0.0107,0.0021,0.0104,0.0458,0.0019,0.063,love,0.063
72,张远,嘉賓,Taiwan,5jAmIkIpskwu2hRz2YaEHi,gratitude,0.0242,0.001,0.0083,0.0174,0.0288,0.0654,0.0581,0.2276,0.0742,0.099,0.0247,0.003,0.0033,0.0099,0.0043,0.5125,0.0079,0.0102,0.1331,0.0087,0.2937,0.0027,0.011,0.0067,0.0499,0.1314,0.0155,0.0153,gratitude,0.0153
73,CORTIS,FaSHioN,Taiwan,4ecdsGz3Hg6TKPwQ0ZOdJz,neutral,0.0034,0.096,0.0024,0.0079,0.0166,0.0043,0.0185,0.034,0.003,0.0142,0.0046,0.0023,0.0093,0.0099,0.0024,0.0006,0.002,0.017,0.005,0.003,0.0039,0.0006,0.0141,0.0019,0.1335,0.0657,0.0079,0.5212,remorse,0.5212
74,Taylor Swift,Opalite,Taiwan,3yWuTOYDztXjZxdE2cIRUa,amusement,0.0048,0.3286,0.0044,0.0168,0.0221,0.0018,0.0045,0.0046,0.0031,0.0205,0.005,0.0038,0.005,0.0706,0.0046,0.0005,0.0018,0.029,0.119,0.0038,0.0061,0.0014,0.0556,0.0023,0.0024,0.0389,0.0612,0.3008,amusement,0.3008
76,sombr,back to friends,Taiwan,7qjZnBKE73H4Oxkopwulqe,fear,0.003,0.003,0.0072,0.0186,0.0116,0.0169,0.0858,0.1002,0.0091,0.0252,0.0066,0.0081,0.0068,0.0062,0.7221,0.0004,0.0062,0.0034,0.0077,0.1899,0.0075,0.0006,0.0245,0.0022,0.0031,0.0687,0.0136,0.1888,fear,0.1888
77,BABYMONSTER,DRIP,Taiwan,1MUZitHRpmng5NevrvNx4T,admiration,0.4002,0.0022,0.0023,0.007,0.3162,0.0241,0.0013,0.0047,0.029,0.0022,0.004,0.0009,0.0006,0.1761,0.0025,0.0017,0.0009,0.06,0.0038,0.0017,0.0593,0.0346,0.0074,0.009,0.0004,0.0011,0.0029,0.156,admiration,0.156
79,Olivia Dean,So Easy (To Fall In Love),Taiwan,6sGIMrtIzQjdzNndVxe397,love,0.0153,0.0024,0.002,0.0043,0.2143,0.0066,0.002,0.0013,0.0084,0.0035,0.0053,0.0012,0.0005,0.0082,0.0007,0.0008,0.0004,0.0303,0.8439,0.0006,0.0117,0.0009,0.0116,0.0015,0.001,0.0027,0.0012,0.0914,love,0.0914
81,Sam Lee,手放開,Taiwan,2Dd9EXYXI2NNrLG61OtWQv,neutral,0.0029,0.0011,0.0032,0.0159,0.0381,0.0013,0.0072,0.0099,0.0015,0.0055,0.0041,0.0047,0.0013,0.0012,0.0022,0.0002,0.0004,0.0004,0.0016,0.0006,0.0035,0.0002,0.0165,0.0003,0.0003,0.0029,0.0019,0.9017,approval,0.9017
82,Kenshi Yonezu,IRIS OUT,Taiwan,59hVbgr8rfYkDbHfr8RcGI,love,0.0122,0.006,0.0359,0.0382,0.0333,0.0242,0.0801,0.1894,0.0097,0.183,0.0622,0.0079,0.0074,0.0053,0.0101,0.0008,0.0107,0.0094,0.8006,0.0167,0.0061,0.0006,0.0148,0.002,0.0412,0.4827,0.0059,0.0322,love,0.0322
83,CORTIS,"Mention Me - From The Movie ""GOAT""",Taiwan,3f0OEJd7mlPNhmH3fUOrqy,neutral,0.0019,0.0041,0.0976,0.2158,0.0284,0.0162,0.002,0.0012,0.0016,0.0157,0.1252,0.0088,0.0029,0.0025,0.0031,0.0004,0.0006,0.0023,0.0007,0.0015,0.0036,0.0008,0.0126,0.001,0.0005,0.006,0.0016,0.6269,annoyance,0.6269
84,F.I.R.,月牙灣,Taiwan,1b5IRT3iraxjHOsKZx93sW,neutral,0.0034,0.001,0.0019,0.0088,0.0499,0.0015,0.0024,0.0021,0.0014,0.0036,0.004,0.0026,0.0005,0.001,0.0011,0.0003,0.0003,0.0005,0.0024,0.0003,0.0039,0.0003,0.0149,0.0003,0.0003,0.0021,0.0006,0.9376,approval,0.9376
85,"Lady Gaga, Bruno Mars",Die With A Smile,Taiwan,7so0lgd0zP2Sbgs2d7a1SZ,love,0.0041,0.0059,0.0193,0.0341,0.021,0.0059,0.0205,0.004,0.1248,0.1998,0.0154,0.0139,0.0153,0.0068,0.0175,0.0012,0.0103,0.0154,0.6223,0.0227,0.0246,0.0021,0.2448,0.0041,0.0294,0.2458,0.0393,0.0281,love,0.0281
86,ILLIT,Magnetic,Taiwan,1aKvZDoLGkNMxoRYgkckZG,love,0.0164,0.0008,0.003,0.0059,0.1728,0.0044,0.0033,0.0053,0.0623,0.0029,0.0035,0.0014,0.0005,0.0584,0.0008,0.0005,0.0004,0.0134,0.4206,0.0008,0.0073,0.0013,0.0094,0.0011,0.0006,0.0014,0.0032,0.2322,love,0.2322
88,ROSÉ,number one girl,Taiwan,1lcBt7LoEikqYmhUoa2cez,love,0.0325,0.0011,0.0046,0.008,0.0395,0.0215,0.0307,0.3735,0.3438,0.0098,0.0067,0.0024,0.0006,0.021,0.004,0.0015,0.0012,0.0056,0.3924,0.0031,0.0206,0.0004,0.0034,0.0008,0.0029,0.0096,0.0031,0.0491,love,0.0491
90,David Tao,就是愛妳,Taiwan,73eCSQ1DxQbaOnzy8PhKx3,love,0.0161,0.0027,0.0061,0.0065,0.0516,0.0698,0.0026,0.0047,0.1721,0.0124,0.0063,0.0029,0.0009,0.0082,0.002,0.005,0.0022,0.0365,0.9338,0.0024,0.0339,0.0011,0.0059,0.0019,0.0057,0.0408,0.0016,0.0308,love,0.0308
91,Joker Xue,其实,Taiwan,6Mmdzst5fLkrKjhdkGhLpe,love,0.0049,0.0021,0.0341,0.0449,0.0675,0.1616,0.0054,0.0047,0.022,0.0974,0.1227,0.0057,0.0022,0.002,0.0028,0.0015,0.0079,0.0103,0.7083,0.0066,0.0186,0.001,0.0165,0.0035,0.0204,0.3227,0.0012,0.0508,love,0.0508
93,Hearts2Hearts,FOCUS,Taiwan,6jYiHr12NVKLzn0X7K8aSK,admiration,0.7104,0.0021,0.0037,0.028,0.1519,0.0007,0.0093,0.011,0.0011,0.0146,0.0221,0.0025,0.0011,0.0373,0.0013,0.0008,0.0005,0.0108,0.003,0.0007,0.0034,0.0053,0.0163,0.002,0.0001,0.0011,0.0143,0.1451,admiration,0.1451
95,Amazing Show,偷偷愛,Taiwan,0L7R4dmkwk46DEZgqx1fF7,neutral,0.0032,0.0008,0.0016,0.0073,0.0683,0.0016,0.0035,0.0024,0.0013,0.0033,0.0044,0.0019,0.0004,0.0008,0.0009,0.0003,0.0003,0.0005,0.0023,0.0003,0.0047,0.0002,0.017,0.0003,0.0003,0.0018,0.0006,0.923,approval,0.923
96,"Disney, Shakira",Zoo,Taiwan,3vJIaiTIHxHhYafTSPNiH4,joy,0.0164,0.046,0.0022,0.0081,0.2306,0.0476,0.0139,0.0368,0.0071,0.0025,0.0067,0.0005,0.0006,0.0886,0.0014,0.0008,0.0008,0.6117,0.0122,0.0046,0.0483,0.003,0.0109,0.0176,0.0006,0.0026,0.0014,0.1243,joy,0.1243
97,Fish Leong,慢冷,Taiwan,3NNDJfWMGHuNpvHWTImmlW,neutral,0.0012,0.0011,0.0532,0.2032,0.0201,0.0016,0.0063,0.0037,0.0009,0.0201,0.3492,0.0068,0.0023,0.0008,0.0012,0.0003,0.0003,0.0005,0.0007,0.0004,0.0027,0.0002,0.0114,0.0003,0.0002,0.002,0.0029,0.5297,disapproval,0.5297
100,aespa,Rich Man,Taiwan,1sUjTLLCJzcxC15GUBrOlg,admiration,0.358,0.0095,0.0014,0.0052,0.1976,0.0014,0.0058,0.0139,0.0017,0.0014,0.0022,0.0008,0.0006,0.1044,0.0011,0.0013,0.0004,0.0566,0.0067,0.0008,0.0044,0.0045,0.018,0.0024,0.0002,0.0007,0.0089,0.3182,admiration,0.3182
101,F.I.R.,我們的愛,Taiwan,0Q4YuuiCuxIIKUw2fb1cmV,neutral,0.0034,0.0019,0.0021,0.0131,0.0328,0.0005,0.006,0.0075,0.0015,0.0063,0.0035,0.0048,0.0028,0.0067,0.005,0.0002,0.0006,0.0011,0.0019,0.0012,0.0025,0.0005,0.0429,0.0005,0.0003,0.0031,0.0233,0.8459,realization,0.8459
102,Crowd Lu,愚人節快樂,Taiwan,3bQeHxH1x4pVUfsRpuLAlH,neutral,0.0265,0.0006,0.0013,0.0032,0.087,0.0015,0.0025,0.003,0.002,0.0029,0.0025,0.0013,0.0003,0.0033,0.0009,0.0003,0.0003,0.0013,0.0219,0.0003,0.004,0.0005,0.0107,0.0003,0.0002,0.0016,0.0011,0.8638,approval,0.8638
103,JOLIN,妥協,Taiwan,0m1cI6aV1jq537JamnL592,neutral,0.004,0.0007,0.002,0.0078,0.0846,0.0015,0.0047,0.0047,0.0015,0.0031,0.0047,0.0023,0.0005,0.0011,0.0009,0.0003,0.0003,0.0004,0.0032,0.0003,0.0053,0.0002,0.0159,0.0003,0.0003,0.0015,0.0008,0.903,approval,0.903
105,"JISOO, ZAYN",EYES CLOSED (with ZAYN),Taiwan,4WFfPxJv1KRekG6mxn837K,neutral,0.0014,0.0006,0.0169,0.125,0.1763,0.0197,0.0026,0.0007,0.0043,0.0724,0.1778,0.0052,0.0022,0.001,0.0024,0.0002,0.0008,0.0015,0.0117,0.0023,0.0129,0.0008,0.0444,0.002,0.0012,0.017,0.0007,0.4001,disapproval,0.4001
106,"Jung Kook, Latto",Seven (feat. Latto) (Explicit Ver.),Taiwan,2HRgqmZQC0MC7GeNuDIXHN,neutral,0.0021,0.0022,0.0047,0.0117,0.0385,0.0067,0.0021,0.0029,0.0188,0.0024,0.0019,0.0015,0.0005,0.0079,0.001,0.0007,0.0004,0.0057,0.0221,0.0004,0.0092,0.0005,0.0057,0.0006,0.0003,0.0016,0.0011,0.8285,approval,0.8285
107,Andrew Tan,天后,Taiwan,4D0KlK4Fl8lotvsoys1bYQ,neutral,0.0011,0.0009,0.0026,0.0173,0.0565,0.0017,0.0041,0.0024,0.0009,0.0042,0.0381,0.0015,0.0004,0.0004,0.0005,0.0002,0.0002,0.0004,0.0012,0.0002,0.0039,0.0001,0.0134,0.0002,0.0002,0.0015,0.0004,0.9025,approval,0.9025
108,TWS,OVERDRIVE,Taiwan,5qAfVxNUxjrELshgTpWxLf,fear,0.0245,0.0072,0.0262,0.0267,0.0248,0.0088,0.0628,0.0619,0.0094,0.0389,0.026,0.0159,0.0158,0.1086,0.5927,0.0007,0.0084,0.0326,0.3695,0.1288,0.0119,0.0037,0.0719,0.0048,0.0029,0.0455,0.3595,0.0176,fear,0.0176
109,Billie Eilish,BIRDS OF A FEATHER,Taiwan,6dOtVTDdiauQNBQEDOtlAB,love,0.0045,0.0015,0.0384,0.0388,0.0292,0.0483,0.0213,0.016,0.1745,0.0483,0.0307,0.0142,0.0022,0.0044,0.012,0.0012,0.0035,0.0052,0.8861,0.0088,0.0396,0.0007,0.0146,0.0011,0.0081,0.0506,0.0038,0.0372,love,0.0372
110,Wu Bai,淚橋,Taiwan,0NAcDn6U2GB2Arhspmh38S,neutral,0.0029,0.0011,0.0021,0.0086,0.0431,0.0013,0.0037,0.0031,0.0012,0.0032,0.0038,0.0028,0.0006,0.0011,0.0012,0.0003,0.0003,0.0005,0.0023,0.0003,0.0032,0.0002,0.0148,0.0003,0.0003,0.002,0.0008,0.9341,approval,0.9341
112,"The Kid LAROI, Justin Bieber",STAY (with Justin Bieber),Taiwan,567e29TDzLwZwfDuEpGTwo,neutral,0.0018,0.0038,0.0026,0.0115,0.0181,0.0012,0.004,0.0031,0.0028,0.0141,0.0055,0.0037,0.0019,0.003,0.0022,0.0003,0.0011,0.0042,0.0042,0.0012,0.0032,0.0004,0.0134,0.0009,0.0007,0.0148,0.0017,0.9395,approval,0.9395
113,TWICE,THIS IS FOR,Taiwan,18AMT576rBlQFMzUTS7WBa,neutral,0.0061,0.0562,0.0019,0.0098,0.0404,0.0038,0.0015,0.0023,0.0128,0.0024,0.0028,0.0011,0.0006,0.0402,0.0009,0.0006,0.0004,0.1682,0.0035,0.0008,0.0074,0.0013,0.0058,0.0022,0.0004,0.0019,0.0007,0.6572,joy,0.6572
114,高爾宣 OSN,Without You,Taiwan,0KWnRv3wxjltYVB3MqjNd2,disappointment,0.0009,0.001,0.0705,0.3382,0.0088,0.0046,0.0112,0.0138,0.0124,0.4554,0.1133,0.0181,0.009,0.0016,0.0083,0.0002,0.0031,0.001,0.0025,0.0105,0.004,0.0004,0.0136,0.0008,0.003,0.1745,0.0033,0.1374,disappointment,0.1374
116,NMIXX,Blue Valentine,Taiwan,4i0HNuFEH6P6K4UnsY5uUh,love,0.0047,0.002,0.0076,0.0124,0.0739,0.0284,0.0125,0.0245,0.0903,0.0372,0.0094,0.0044,0.0015,0.009,0.0082,0.0004,0.0025,0.0116,0.8915,0.0103,0.0592,0.0007,0.0182,0.0018,0.006,0.0576,0.0035,0.0558,love,0.0558
118,G.E.M.,泡沫,Taiwan,2IfSPLPDW6RGosdB5huwAA,neutral,0.0018,0.0024,0.0029,0.0094,0.0173,0.001,0.0022,0.0013,0.0011,0.0048,0.0057,0.003,0.001,0.0016,0.0017,0.0003,0.0005,0.0015,0.0016,0.0004,0.0016,0.0003,0.0087,0.0003,0.0004,0.0035,0.0008,0.9597,approval,0.9597
119,Jay Chou,七里香,Taiwan,57w29bSwdIZ6gr6xXOqwc1,neutral,0.0048,0.0009,0.0024,0.0076,0.0412,0.0026,0.0207,0.2533,0.0485,0.0024,0.0047,0.0016,0.0003,0.0039,0.0009,0.0003,0.0002,0.0005,0.0066,0.0004,0.0062,0.0001,0.0044,0.0002,0.0004,0.0013,0.0017,0.6101,curiosity,0.6101
120,Bruno Mars,I Just Might,Taiwan,6f68Ac5tt5BQOpwr0BV9oN,curiosity,0.0027,0.0008,0.0327,0.0842,0.0209,0.0162,0.0771,0.3633,0.0395,0.1444,0.0679,0.0105,0.0028,0.0058,0.0229,0.0001,0.0031,0.002,0.0168,0.0132,0.0173,0.0003,0.0086,0.0008,0.0027,0.1006,0.0061,0.1354,curiosity,0.1354
121,Eric Chou,怎麼了,Taiwan,5cU1O9P0EDA0rPkPDykhIm,neutral,0.0042,0.0007,0.0019,0.0059,0.1032,0.002,0.0042,0.004,0.0013,0.0025,0.0038,0.0018,0.0004,0.001,0.0009,0.0004,0.0002,0.0005,0.0041,0.0002,0.0045,0.0002,0.0144,0.0003,0.0003,0.0015,0.0006,0.8961,approval,0.8961
