rank,artist,title,region,spotify_uri,dominant_emotion,emotion_love,emotion_longing,emotion_joy,emotion_heartbreak,emotion_grief,emotion_despair,emotion_hope,emotion_lonely,emotion_sensual,emotion_anger
36,Herencia De Grandes,Ya Borracho,Colombia,4NyUIohBa3CEMGcXURYSOh,null,null,null,null,null,null,null,null,null,null,null
37,"Yeison Jimenez, Chayín Rubio",El Mejor - Remix,Colombia,1xRRW5ZrL7I9EG8CGZrXHE,null,null,null,null,null,null,null,null,null,null,null
38,Bad Bunny,NO ME QUIERO CASAR,Colombia,39L3LdlHS3gqB62HPWaJRg,sensual,0.1705,0.8154,0.121,0.7817,0.3661,0.2439,0.2748,0.8478,0.8973,0.6626
39,Beéle,top diesel,Colombia,2QP041AcWg8PwPIWP95RKN,null,null,null,null,null,null,null,null,null,null,null
40,"Bad Bunny, Omar Courtz, Dei V",VeLDÁ,Colombia,7d6yK8v8J484SWH5prIQiE,sensual,0.639,0.8098,0.2829,0.0,0.2054,0.0,0.4967,0.157,0.9394,0.3125
41,"Luister La Voz, maikol el insoportable",Ozono,Colombia,4acvrfbXrDPFQNNDnFZnpC,null,null,null,null,null,null,null,null,null,null,null
42,Yeison Jimenez,Un Perro Enamorado,Colombia,3kcr3teEgyTOVIAxMPOPeO,null,null,null,null,null,null,null,null,null,null,null
43,Arcángel,Pa' Que La Pases Bien,Colombia,1pLCpA1RN8avJxSD3ZCwhj,null,null,null,null,null,null,null,null,null,null,null
44,"El Bogueto, Yung Beef",Cuando No Era Cantante,Colombia,6N2iccqxRInhTLHc2Fu3W0,longing,0.9043,0.9929,0.4282,0.9134,0.7976,0.2507,0.8156,0.9518,0.9892,0.7434
45,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Diles,Colombia,6C1RD7YQVvt3YQj0CmuTeu,sensual,0.227,0.7566,0.2718,0.0,0.1666,0.0,0.1115,0.0,0.9948,0.5378
46,Bad Bunny,VOY A LLeVARTE PA PR,Colombia,59D4DOkspUbWyMmbAPQkxZ,sensual,0.2833,0.8849,0.4292,0.3169,0.3863,0.1404,0.4609,0.4861,0.9909,0.6639
47,Arcángel,Hace Mucho Tiempo,Colombia,0a6ogDrZBvYgDjILgsQVaJ,null,null,null,null,null,null,null,null,null,null,null
48,"Feid, ATL Jacob",LUNA,Colombia,7bywjHOc0wSjGGbj04XbVi,longing,0.7103,0.9914,0.2024,0.9845,0.9555,0.8998,0.1585,0.9805,0.9045,0.9727
49,"El Bogueto, Anuel AA, Fuerza Regida, Yung Beef",Cuando No Era Cantante - Remix,Colombia,2pbSCYzxrG0wa6qcj8IyiE,sensual,0.8646,0.9782,0.1985,0.5664,0.4762,0.0,0.4974,0.6412,0.9932,0.529
50,Kris R.,MIL D AURA,Colombia,0LvxvoeJmdhkxRIC4orlJ3,null,null,null,null,null,null,null,null,null,null,null
51,"Blessd, Fuerza Regida, Ovy On The Drums",COMO OREO,Colombia,7sRXb5IgYWwVv1DaavHSNs,null,null,null,null,null,null,null,null,null,null,null
52,Plan B,Es un Secreto,Colombia,3KZCP2StVGdWkOKyRZNWA4,sensual,0.8752,0.9424,0.6731,0.0,0.0,0.0,0.7725,0.1035,0.9886,0.0
53,Yeison Jimenez,MLP,Colombia,4DAMvNqHt0s8zJr6JwOoye,null,null,null,null,null,null,null,null,null,null,null
54,"Blessd, Los Money Makers, Prodmonja",URUS BLUE,Colombia,4sTnItbNUAcS5KDG6vTA5B,null,null,null,null,null,null,null,null,null,null,null
55,"Maluma, Trap Capos, Noriel, Bryant Myers, Juhn","Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Colombia,0JoHqmlqE0W0i9prt6kcHR,sensual,0.6281,0.8572,0.1439,0.7529,0.6225,0.7793,0.0,0.7585,0.9218,0.5224
56,"Danny Ocean, Kapo",Imagínate,Colombia,7ns16ylM6sbxo9ZWIwyE5d,sensual,0.5235,0.8129,0.3978,0.2047,0.1172,0.0,0.441,0.4442,0.8571,0.1078
57,"Bryant Myers, Anuel AA, Anonimus, Almighty",Esclava - Remix,Colombia,2Mgur7BKnpr7OG3izSNFTA,sensual,0.3761,0.7495,0.2364,0.4707,0.4826,0.5564,0.1385,0.2492,0.9806,0.7961
58,"CARABIN3, SVNTI",MUSA,Colombia,0QuHK1VvIZ1Kt2GfqRrdVo,null,null,null,null,null,null,null,null,null,null,null
59,Arcángel,Me Prefieres A Mi,Colombia,3GhmL9fuM8jwGcHCFbeo3v,null,null,null,null,null,null,null,null,null,null,null
60,"Blessd, GeezyDee",DIOMEDEZ,Colombia,6qDTm2QbRSLlSmaUSJE6bF,null,null,null,null,null,null,null,null,null,null,null
61,Bad Bunny,NUEVAYoL,Colombia,5TFD2bmFKGhoCRbX61nXY5,sensual,0.6064,0.9418,0.8949,0.0,0.4016,0.0,0.5258,0.2685,0.9692,0.2498
62,"Kris R., ROA",PASIÓN Y SEXO,Colombia,4pjkZyNZnOJEPpBmzOqTC2,null,null,null,null,null,null,null,null,null,null,null
63,Kapo,NO CRY,Colombia,4YM3IYESNKXWYHbPXvMMVD,null,null,null,null,null,null,null,null,null,null,null
64,Rels B,TU VAS SIN (fav),Colombia,6uiQ0DqbXTBc8tl0AUKZkR,longing,0.911,0.9854,0.5265,0.4147,0.3363,0.0,0.4968,0.1765,0.9833,0.9112
65,"Blessd, J Alvarez",FANÁTICO,Colombia,0e3d2UZRjtvviXWWMRYGQo,null,null,null,null,null,null,null,null,null,null,null
66,"Blessd, Ovy On The Drums",Mírame,Colombia,2btNsI4OvcVl7SAHQQDHFB,null,null,null,null,null,null,null,null,null,null,null
67,Ñengo Flow,En Las Noches Frias,Colombia,0a0JiZejbYYem1W31fldde,null,null,null,null,null,null,null,null,null,null,null
68,"Tony Dize, Plan B",Solos,Colombia,3CbiuLMBPM6uV4a7HvkOib,null,null,null,null,null,null,null,null,null,null,null
69,"KAROL G, Feid",Verano Rosa,Colombia,0nafF9MxcXJBQWv3BTKtdF,sensual,0.8483,0.9272,0.5164,0.4672,0.4646,0.2176,0.2441,0.6557,0.9938,0.8747
70,Danny Ocean,Me Rehúso,Colombia,6ifUES3keWjwXgae8pXI3o,sensual,0.5289,0.6151,0.1699,0.4939,0.3833,0.2753,0.2021,0.4058,0.8709,0.2477
71,"Yan Block, Panda Black",444,Colombia,1o4xkdBe0RjSf2u6VXi4OI,longing,0.7907,0.973,0.1455,0.884,0.6835,0.5691,0.0,0.9255,0.9705,0.8506
72,"W Sound, Blessd, Ovy On The Drums",Soltera - W Sound 01,Colombia,13BDiikG6y5o5cQTK0HpW6,null,null,null,null,null,null,null,null,null,null,null
73,Willie Colón,Idilio,Colombia,5iwgEFKEktjBBZV3C9TTZj,null,null,null,null,null,null,null,null,null,null,null
74,"Yan Block, Panda Black",Talento,Colombia,7sChwC2NZjGc2Kdni3hlDg,anger,0.7062,0.9192,0.4025,0.8336,0.9416,0.5101,0.956,0.9297,0.9901,0.9905
75,"Rauw Alejandro, Bad Bunny",Qué Pasaría...,Colombia,0l0vcZMU7AOeQmUIREoI2U,sensual,0.4293,0.9484,0.2031,0.5954,0.5342,0.2296,0.1852,0.9377,0.9895,0.8864
76,"Boza, ELENA ROSE",orióN,Colombia,4feh4Ak3ZJfC6ibxkNzlkE,null,null,null,null,null,null,null,null,null,null,null
77,Luis Alberto Posada,Mal Amor,Colombia,1j4XwpoLvqdkWllikDu7Rm,null,null,null,null,null,null,null,null,null,null,null
78,Arcángel,Ganas De Ti,Colombia,71w26UK674tLfGtJFfDSjE,null,null,null,null,null,null,null,null,null,null,null
79,Romeo Santos,Imitadora,Colombia,6r46lnXFbE9fr2d3KNaGbe,longing,0.869,0.9871,0.1531,0.9763,0.9336,0.764,0.4137,0.9794,0.9753,0.895
80,Maluma,Borro Cassette,Colombia,6DUdDIRgLqCGq1DwkNWQTN,sensual,0.9024,0.9485,0.2512,0.8802,0.7519,0.4656,0.1442,0.3218,0.9916,0.872
81,"Yan Block, TORRRES",Yo sé,Colombia,5DdLSEyKh8zgCrJq2hFj92,sensual,0.1853,0.8727,0.0,0.8717,0.7735,0.6956,0.0,0.2822,0.994,0.8982
82,"El Americano 4KT, Kobby",The Flow's Son Black!,Colombia,6uLcqYE347zlvXD6rhiM4J,null,null,null,null,null,null,null,null,null,null,null
83,Dalmata,Dile a Tu Amiga,Colombia,3u2jlo9kygiIAq7SPVuw6S,null,null,null,null,null,null,null,null,null,null,null
84,"Kris R., GeezyDee, Prodmonja",BOBADITA,Colombia,52IeC2QBiJqk9jAR5gbe14,null,null,null,null,null,null,null,null,null,null,null
85,"Omar Courtz, ROA",WO OH OH,Colombia,0h54mLixODOqU6vTcZMqVM,sensual,0.9318,0.9831,0.5477,0.4188,0.462,0.0,0.8094,0.4967,0.9932,0.7571
86,Yeison Jimenez,Ya No Mi Amor,Colombia,7qbPQqOYYMPdQqRqv7bNin,null,null,null,null,null,null,null,null,null,null,null
87,Omar Courtz,SI ESTÁS CON ALGUIEN,Colombia,7nyk5uxevcijIfl1FlJgmA,heartbreak,0.7007,0.5769,0.1033,0.7951,0.563,0.5663,0.2966,0.7026,0.5724,0.3779
88,"Alzate, Yeison Jimenez",Mi Venganza,Colombia,3f4AsGGYt94t7g1lHcsa8D,null,null,null,null,null,null,null,null,null,null,null
89,"Arcángel, Bad Bunny, Mambo Kingz, DJ Luian",Tu No Vive Asi (feat. Mambo Kingz & DJ Luian),Colombia,6NSMQFKgjpQb0KkjMDYIK0,sensual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1031,0.0
90,"TURY, CARABIN3",CHUCHA,Colombia,01dFxiEOMTTzim5J3kytjA,null,null,null,null,null,null,null,null,null,null,null
91,Bad Bunny,KLOuFRENS,Colombia,4MUrUT38U98olfnyzMBCzm,heartbreak,0.9254,0.922,0.1677,0.9581,0.8746,0.6425,0.0,0.9514,0.5157,0.4619
92,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,Colombia,3mg9jYNC1NihbthlglzrWP,null,null,null,null,null,null,null,null,null,null,null
93,Yeison Jimenez,El Mejor Caballo,Colombia,4Udf3NPZZVggwmVXHcjuqA,null,null,null,null,null,null,null,null,null,null,null
94,"Yeison Maje, Ciro Quiñonez, Luis Alfonso, Yeison Jimenez",El Embustero RMX,Colombia,72q1JMsCJbKNbWgzipGi6x,null,null,null,null,null,null,null,null,null,null,null
95,Milo j,Niño,Colombia,4aDbrgm1ZaebS1Bb2dOXac,longing,0.8104,0.9819,0.0,0.9789,0.9769,0.8578,0.1182,0.5846,0.8732,0.1223
96,"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,Colombia,5AK6QqM8aUXXTk6oY00ZRh,sensual,0.6919,0.9737,0.2927,0.6797,0.6577,0.5322,0.2093,0.8006,0.9764,0.7945
97,"La Combinación Vallenata, Jean Carlos Centeno",Ayer Y Hoy,Colombia,5HCk7iruzhQ1FbxyS3igmM,null,null,null,null,null,null,null,null,null,null,null
98,Omar Courtz,KOKO,Colombia,1tz7RZirwiuaJw2p0jbdHb,sensual,0.7466,0.9698,0.2061,0.0,0.0,0.0,0.2694,0.9863,0.9984,0.4178
99,Kapo,OHNANA,Colombia,482PEx8hfMHSsuGtHd960A,lonely,0.8513,0.9645,0.4478,0.7764,0.8269,0.6811,0.2247,0.9892,0.9755,0.4257
100,"Tony Dize, Yandel",Permítame,Colombia,6OaGIYcVzx5c7aEKkuYS1M,null,null,null,null,null,null,null,null,null,null,null
101,"Kenny Die, Blessd, Kris R., Sebas",Ultra Complicado (feat. Sebas) - Remix,Colombia,569xAmXCkpM3IsEOiG4hWe,null,null,null,null,null,null,null,null,null,null,null
102,"Topboy TGR, Kzadores",MÁS DE AHÍ,Colombia,4ATzrqMF84B9iSCGUUqfTT,null,null,null,null,null,null,null,null,null,null,null
103,Yeison Jimenez,Se Acabó,Colombia,2T6BBNQW4t81x2ddqWrGzs,null,null,null,null,null,null,null,null,null,null,null
