artist,title,spotify_uri,lyrics
Yandel,Encantadora,7LABrQFfRYcZUqUwng0Heb,"Na, na, naeh (Woh, oh)
Na, na, naoh (Woh, oh)
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Ella tiene algo que me atrapa
Se me hace muy fácil extrañarla (Oh)
Yo que no creo en el amor
En su juego redondito caí, y me enamoré

Ignora (Oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora (Oh-oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora (Woh, oh, oh, oh)

Na, na, naeh
Na, na, naoh
Na, na, naeh (Woh, oh, oh, oh, oh)
Na, na, naeh, eh-eh (Woh, oh, oh, oh, oh; mi amada; jajaja; woh, oh, oh, oh, oh)

Baby, tú tienes algo, algo muy diferente
Déjame conocerte a fondo, más íntimamente (Eh)
Porque es que cuando tú te mueves sexy, mami (Ouh, woh)
Me provocas y me entran más ganas a mí (Yey, yeh-eh)
De jalarte por el pelo, y besarte por el cuello
Ay, bebé, no tengas miedo, quítate la ropa (Oh)
Hazlo paso por paso y bésame la boca
Vamos a disfrutar de este momento (Eh)

Porque nadie no' está viendo aquí
Estamos solitos aquí
Déjame sentir todo tu cuerpo
Porque nadie no' está viendo aquí
Estamos solitos aquí
Déjame sentir todo tu cuerpo
Na, naeh

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Ignora (Oh)
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh (Eh)

Cerquita de mí, tan sola, baby
Vamos a pasarla como se debe
En cambio yo aquí, pendiente de ti
Buscando una manera pa' que aquí se quede

No la dejo sola
Las horas me roba y la dejo
Ya veo en sus ojos el deseo
No se va a arruinar el momento (No, oh)
Y es que me mata pensarte
Ignorarte un rato y luego buscarte (Oh)
Quiero amanecerme esta noche, eah
No sabes cómo quiero a usted verla

Cerquita de mí, tan sola, baby
Vamos a pasarla como se debe
En cambio yo aquí pendiente de ti (Oh, oh, oh)
Buscando una manera pa' que aquí se quede (Eh)

Ignora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es, encantadora y cazadora
Sin tocarla me acalora
La veo bailar, no la dejo sola, sola
Quiero hacerla mi señora
Ella es encantadora y cazadora

Na, na, naeh
Na, na, naoh
Na, na, naeh
Na, na, naeh, eh-eh

Dangerous"
Bad Bunny,Otra Noche en Miami,4vCAzANUWDE24URV6wQ4ra,"Yeh, yeh

Diez en punto de la noche y salgo como de costumbre
Prendas en diamantes que cieguen cuando me alumbre
Me diferencio de la muchedumbre
A mi estilo puede que no te acostumbre'
No sé si irme en el Mercedes o en el Maserati
Modelos extranjeras que me dicen ""Papi""
Están tirando al cel, ya me quieren ver (Ah)
Seguramente, ya están locas por coger
Pero soy yo quien les llevo la champaña
Si no es con Moët, la rubia no se baña
Me voy de viaje y a las dos hora' me extraña
O mejor dicho, el dinero que me acompaña
Soy todo un Fazza en la ciudad del sol
No voy a tiendas, pues yo soy dueño del mall
Soy Cristiano después de meter un gol
Tengo a francesas hablándome en español
Y siempre mucho Gucci, mucho Ferra', Louis Vuitton
Yo no uso Retro, pero tengo to'a la colección
Pa'l Khalifa Kush tengo la conexión
Pa'l avenue Miami Beach e' mi dirección (Ah)
Todo es superficial, nada real
Nada raro que el dinero no pueda comprar
Penthouse con vista al mar
Es lo único que tengo pa' poder pasar

Otra noche en Miami (Yeh)
Otra noche en Miami
Otra noche en Miami
Otra noche en Miami
Otra noche sin ti
Otra noche sin ti

Supuestamente, ya yo te olvidé
Pero son las 11:34 y de ti me acordé (Yeh)
No te veo desde que me mudé
Pero soñé contigo anoche y te saludé
Tratando de sellar las cicatrices
He estado con modelo' y con actrices
Seguramente, yo nunca las quise
Seguramente, no sé ni por qué lo hice
Y en el garage está el Bentley que tanto querías
Me monto pa' fumar, imaginando que lo guías
Ya me cansan los threesome' y las orgías
Ya me cansa que mi vida siga vacía
Y recuerdo que me lo decías
Que si no cambiaba, te perdía
Como quisiera volver a esos días
Ahora que soy rico, no tengo lo que tenía
Pues mi Rolex no brilla igual que tu sonrisa
Y con estas putas no me gusta compartir la frisa
Si piensas volver, me avisa'
Mientras yo sigo solo

Otra noche en Miami (Yeh)
Otra noche en Miami
Otra noche en Miami
Otra noche en Miami
Otra noche sin ti
Otra noche sin ti
Otra noche sin ti (Otra noche sin ti)
Otra noche sin ti (Otra noche sin ti, yeh)"
"Bad Bunny, Bomba Estéreo",Ojitos Lindos,3k3NWokhRRkEPhCzPmV8TW,"Hace mucho tiempo le hago caso al corazón
Y pasan los día', los mese’ pensando en tu olor (En tu olor, en tu olor)
Ha llegado el tiempo para usar la razón
Ante' que sea tarde y sin querer me parta en do' (Parta en do’)

Ante' de que salga el sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada má' seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'

Y solo mírame (Mírame) con esos ojito' lindo’ (Lindo’)
Que con еso yo estoy bien (-toy bien), hoy hе vuelto a nacer (Nacer)

Hace tiempo (Tiempo) que no agarro a nadie de la mano (Mano)
Hace tiempo (Tiempo) que no envío ""Buenos días, te amo"" (Te amo)
Pero, tú me tiene' enreda’o (Enreda'o), me envolví (Envolví)
Iba por mi camino y me perdí (Ey, ey)
Mi mirada cambió cuando tus ojos vi (Tus ojos vi)
Bye-bye a los culo', ni me despedí
Yo no te busqué (-qué), no (No), chocamo' en el trayecto
Con tu alma es la que yo conecto (-necto)
Tranquila, no tiene que ser perfecto, no
Aquí no existe el pecado (-cado) y equivocarse es bonito
Los errore’ son placere' (-cere'), igual que to' tus besito'

Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)

Tú y yo, tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo
Tú y yo, tú y yo

Yo no me dejo llevar de nadie
Yo solo me dejo llevar de tu sonrisa (-risa)
Y del lunar cerquita de tu boca (Boca)
Si yo estoy loco, tú estás loquita (-quita)
Pero, baby, como tú no hay otra, no (No)
Quiero regalarte girasole' (-sole')
Ir pa' la playa y buscarte caracole'
Cuando estoy contigo, yo no miro el Role' (Role')
Vamo' a bailar doscientas cancione' (-cione')
Nadie me pone como tú me pone' (Pone')
Mm-mmm, mm-mmm-mmm-mmm
Mm-mmm, mm-mmm-mmm-mmm
Yo le hablo a Dio' y tú ere' su respuesta
Aprendí que los momento' lindo' nunca cuestan
Como cuando me regalas tu mirada
Y el sol su puesta, y el sol su puesta
Ey, ey, cuando estoy encima de ti, de ti
Mami, yo me olvido de to', de to'
No hace falta nadie aquí
Solamente tú y yo

Ante' de que salga el sol, hunde el acelerador
Aunque vaya sin freno' y pierda el control
Nada má' seremos do', tú y yo acariciándono'
En medio del tiempo, sin decir adió'

Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)
Y solo mírame (Mírame) con esos ojito' lindo' (Lindo')
Que con eso yo estoy bien (-toy bien), hoy he vuelto a nacer (Nacer)"
"Callejero Fino, Martin Vegas",TIKI TIKI,7GSKEUunbDOtPSG1TLXq8e,"Hagan caso

Vega', ello' ya saben que yo entro loco
Las cheta' me piden foto y yo 'toy que floto
La compe está que llora y yo no compro
Que intenten, que los rompo

Ese culo hace ""takate"", y mis ñeri' son to's tiki-tiki-tiki-tiki
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki
Ese culo hace ""takate"", y mis ñeri' son to's
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki
Ese culo hace ""taka-taka-taka""

A ver
Ella agita la botella pa' que empiece a llover
Ello' mueren por pegarse y yo lo hice sin querer
Entro pa' la pista como pan de antes dе ayer
Suena RKT y yo la pongo a mover
Lе gusta el coqueteo y no aguantan el fronteo
Fronteo, fronteo, fronteo, fronteo
Con la gata coqueteo, en la pista bellaqueo
Fronteo, fronteo, fronteo, fronteo

Le gusta el coqueteo y no aguantan el tiki-tiki-tiki-tiki
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki-tiki
Ese culo hace ""takate"", y mis ñeri' son to's
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki
Ese culo hace ""taka-taka"" (Gato, ya perdiste)

Ando cazando por el área
Vo' seguí haciéndote el piola, te vamo' a hacé' una cesárea
Se hacen los chorro' y están re paria
Yo no me prendo un cogollo, yo me prendo una hectárea
Zumba, vo' sos más gato que Gumball
No me bajan ni con gualicho ni con macumba
Zumba, no se regalen, 'toy en punga
Tengo a mi compañero que me hace la segunda

Hagan caso
Pa' las rocha' beso', y pa' los gile' rafagazo'
Esto es RKT y se la llevaron a marzo, les doy un repaso
Yo no soy la chispa, mami, soy el corrientazo

Muévete, muéve-muévete, muévete, muéve-muévete
Dale para el piso, mueve el tajo, gata
Muévete, muéve-muévete, muévete, muéve-muévete
Dale para el piso, te machaco, gata

Ese culo hace ""takate"", y mis ñeri' son to's tiki-tiki-tiki-tiki
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki
Ese culo hace ""takate"", y mis ñeri' son to's
Tiki-tiki-tiki-tiki, tiki-tiki-tiki-tiki
Ese culo hace ""taka-a-a-a-a""

Gato, ya perdiste
Yo soy CF, mami
Con Martin Vegas en el beat
Si ya sabés cómo e'
723
Que esto es Argentina, turra
Hagan caso
Pa' las rocha' beso', y pa' los gile' rafagazo', turra"
No Te Va Gustar,Ese Maldito Momento,6MuJUSYCqA4FpMogUHzb2R,"La ruta semi vacía, como mi vida sin vos
Quién hubiera imaginado
Que llegaría el momento
Ese maldito momento de mirar para un costado

Y no verte en mis mañanas ni sonreír con tu voz
Es sentirme acorralado
Es por no haber apreciado
Y yo mismo haber tirado lo que la vida me dio

No sigo más, no tengo resto
Soy solo esto, barro nomás
No tengo nada, no lo merezco
Vos no me tengas piedad

¿Será solo mi torpeza, o será mi forma de andar?
No pude seguir tus pasos
Me fui cayendo a pedazos
Solo quedaron retazos y no los pude juntar

Si no estás en mis mañanas, si no me río con vos
Si me siento acorralado
Es por no haber apreciado
Y yo mismo haber tirado lo que la vida me dio

No sigo más, no tengo resto
Soy solo esto, barro nomás
No tengo nada, no lo merezco
Vos no me tengas piedad"
Angela Torres,FAVORITA,6EhX9FjpQZ5CohoGeqUM2u,"Oh, oh yeah, oh, mm
Tu vida voy a cambiar
Las veinticuatro horas pasar
Caíste en mi trampa mortal

Y yo sé que soy su favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah
Tu favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah

Esto se volvió algo inevitable para los dos
'Tamos conectando, hay algo entre tú y yo
Cuando tú quiera', no' vamo'
Y te saco de este plano

Baby boy, cuando nos cruzamos sube la presión
Piensa todo el día еn mí, soy su adicción
Siempre quierе verme, ya sabe quién soy

Tu favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah
Tu favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah

Esto se volvió algo inevitable para los dos
'Tamos conectando, hay algo entre tú y yo
Cuando tú quiera', no' vamo'
Y te saco de este plano

Baby boy, cuando nos cruzamos sube la presión
Piensa todo el día en mí, soy su adicción
Siempre quiere verme, ya sabe quién soy

Su favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah
Tu favorita
Cancela sus planes que me necesita
Yo soy la oficial, no hay nadie que compita
Lo llevo hasta Venus, yo soy su Afrodita, yeah

Yeah, yeah, yeah, yeah"
Kapo,UWAIE,0fMjldiEpgjbWQ4bBQwVzH,"(Yo, Gangsta) Bebé
Where you at?

Ay, me he inventado cosa' pa' llamar la atención de ti
Y no solo por lo hermosa, niña, tu brillo me tiene así
Siéntate y piensa en algo, y quiero ser ese algo
Ay, procuré seducirla mucho, hasta que se dio, y

Flaca, vos sos hermosa, y te merece' todo
Amarte es mi necesidad, mi necesidad
De ti me gustan cosa', la verdad, todo
Quitarte esa inseguridad e' mi necesidad

Es darte un par de besito'
Es bailar contigo un afrito
Es decir: ""Qué loquito me tiene'""
Es decir: ""¿A qué huele?""
Huele rico al bailar
Es perfecta al despertarse
Ay, procuré seducirla mucho, hasta que se dio

Ay, flaca, vos sos hermosa, y te merece' todo
Amarte es mi necesidad, mi necesidad
De ti me gustan cosa', la verdad, todo (La verdad todo)
Quitarte esa inseguridad e' mi necesidad
De verdad, ah

Ay, procuré seducirla mucho, hasta que se dio
Y si supiera todo lo que yo le recé a Dios
Pa' que tú estuviera' aquí
Ay, mi flaca hermosa, vo' so' otra cosa
Es el destino que no' tiene feliz
(Bebé, date una idea de que)

Flaca, vos sos hermosa, y te merece' todo
Ay, amarte es mi necesidad, mi necesidad
De ti me gustan cosa', la verdad, todo
(Bebé, date una idea de que)
Flaca, vos sos hermosa (Uwaie), y te merece' todo (Uwaie)
Ay, amarte es mi necesidad, mi necesidad
De ti me gustan cosa' (Uwaie), la verdad, todo (Uwaie)
(Uwaie)

(Yo, Gangsta)
(Ay, yo soy tu Kapo, baby)
(Bebé, yeah, yo)
La Industria Inc"
"Estelares, Jorge Serrano",Ella Dijo,6cFf4Jfy7ThUwGzbqFcZsx,"Y todo en un minuto
Yo estaba en la cocina
Me abrazo por la espalda
Y me dijo al oído
Que le encanta ir a la cama conmigo
Pero no quiere nada más
Encendí un cigarro
Y me miro a los ojos
Abroche su camisa
Y se cruzó de piernas
Y le encanta ir a la cama conmigo
Pero no quiere nada, nada más

Ella dijo
Y yo dije:
""No eres mi amor""
Ella dijo
Y yo dije:
""No eres mi amor""

Ya eran las doce
Debía irme de viaje
Que suerte con la gira
Que luego iba a llamarme
Porque le encanta ir a la cama conmigo
Pero no quiere nada más
Me dijo: ""Yo te quiero
Aquí esta mi cariño
Ahora no me atrevo
Es que ya no somos niños""
Aunque le encanta ir a la cama contigo
Pero no quiero nada, nada más

Ella dijo
Y yo dije:
""No eres mi amor""
Ella dijo
Y yo dije:
""No eres mi amor""

Durmiendo en su casa
Los jeanes en el suelo
Mientras me abrazaba
Me dijo sonriendo:
""Manuel, me encanta ir a la cama contigo
Pero no quiero nada, nada más""

Ella dijo
Y yo dije:
""No eres mi amor""
(Sé que me estás buscando)
Ella dijo
Y yo dije: (También sé que te quiero)
(Ahora no tengo tiempo)
""No eres mi amor"" (O quizás sea el miedo)
(Porque a mí también)
Ella dijo (Me encanta ir a la cama)
Y yo dije:
""No eres mi amor""
Ella dijo
Y yo dije:
""No eres mi amor""
(Sé que me estás buscando)
Y yo dije: (Ahora no tengo tiempo)
""No eres mi amor"" (O quizás sea el miedo)
(Porque a mí también)
Ella dijo (Me encanta ir a la cama)
Y yo dije:
""No eres mi amor"""
La T y La M,Un Montón de Estrellas - En Vivo Gran Rex,1R3ubqAHKHE6f64Hz37q8h,
Babasonicos,El Loco,2jEjxOyKqMpkcThWl697hf,"Soy víctima de un Dios
Frágil, temperamental
Que en vez de rezar por mí
Se fue a bailar
Se fue a la disco del lugar
Quiso mi disfraz
Vivir como un mortal
Como no logró matarme
Me regaló una visión particular

Volutas de humo titilo a su encuentro, oh-uh-oh
Siento el fulgor y quiero entrar

Soy víctima de un Dios
Díscolo y muy singular
Que a su antojo fiel
Me arrebató a mi mujer
Y la internó en un lupanar
Que él administró como chulo, gran señor
Y llegó hasta el fin de confundir su impunidad
Se creyó omnisciente

Volutas de humo titilo a su encuentro, oh-uh-oh
Siento el fulgor y quiero entrar

Lo regalado es mío y se acabó
No lo devuelvo
Lo regalado es mío y se acabó
No lo devuelvo
Lo regalado es mío y se acabó
No lo devuelvo

Soy víctima de un Dios
Frágil, temperamental
Que en vez de rezar por mí
Se fue a bailar
A la disco del lugar"
Andrés Calamaro,Flaca,1p7m9H4H8s0Y7SgRm7j3ED,"Flaca, no me claves
Tus puñales por la espalda
Tan profundo, no me duelen
No me hacen mal.
Lejos, en el centro de la Tierra
Las raíces del amor
Donde estaban, quedarán.

Entre el no me olvides me dejé nuestros abriles olvidados
En el fondo del placard del cuarto de invitados.
Eran tiempos dorados de un pasado mejor.
Aunque casi me equivoco y te digo poco a poco
No me mientas, no me digas la verdad
No te quedes callada
No levantes la voz, ni me pidas perdón
Aunque casi te confieso
Que también he sido un perro compañero
Un perro ideal que aprendió a ladrar
Y a volver al hogar
Para poder comer

Flaca, no me claves
Tus puñales por la espalda
Tan profundo, no me duelen
No me hacen mal
Lejos, en el centro de la Tierra
Las raíces del amor
Donde estaban, quedarán

Pa-pa-pap-pa-pa-pa-pap-pa-pa
Pa-pa-pap-pa-para-pa-pap-pa-pa
Pa-pa-pap-pa-pa-pa-pap-pa-pa
Pa-pa-pap-pa-para-pa-pap-pa-pa
Para-pa-pap-pa-pa-pa-pap-pa-pa"
Las Pelotas,Personalmente,7q7XFO9av9VpNJSXKJwJxD,"Deja que ruede
Como el aire entre las hojas
Todo es oro, todo es sal
Que llegará el día
Que no quemen sus recuerdos
Que se apagará el dolor

Personalmente creo
Que todo esto es una locura
Personalmente creo
Que todo esto es una locura

Cómo es la vida
Cuántas veces en el cielo
Cuántas en la oscuridad
Que sólo es el tiempo
El que llevará tú vida
A dónde quiere que estés

Personalmente creo
Que todo esto es una locura
Personalmente creo
Que todo esto es una locura


Deja, sigamos remontando vuelo
Deja, la luz siempre atraviesa el bosque
Después es solo un recuerdo
Después solo pasará


Deja que ruede
Llegará el día
La locura
La locura
La locura
La locura
La locura
La locura"
"Rauw Alejandro, Romeo Santos",Khé?,1YYfyJ2yCvGFCxwjsIqEK9,"Te escribí lo que sentía y lo borré
Te dije que no te amaba y lo arruiné
Sabiendo que
Cuando te ibas, solo quería besarte
Me acuerdo cuando de tu casa me fui
Dije que ""no"" queriendo decir que ""sí""
Pero sentí tu duda y me trajo la duda
Por eso estamos aquí

Me dices que pa' qué y yo te digo que
Si no somos nada, ¿entonces a qué
Estamos jugando? El tiempo volando
Y tú sin mí no sé si bien la estás pasando
Me dices que pa' qué y yo tе digo que
¿Pa' qué nos mentimos? Si en еl fondo se
Te nota tanto que te está matando
Decir que ahora sin mí mejor la estás pasando

Yo fronteando, me hice el fuerte y me apeché
Tú queriendo ser mi amiga y te besé
Sabes muy bien
Que no podemos controlar los sentimientos
Y llamo a otras pa' olvidarme de ti
Pero en mi mente yo te tengo en repeat
Más que una calentura, baby, tú disimulas
Por eso estamos aquí

Me dices que pa' qué y yo te digo que
Si no somos nada, ¿entonces a qué
Estamos jugando? El tiempo volando
Y tú sin mí no sé si bien la estás pasando
Me dices que pa' qué y yo te digo que
¿Pa' qué nos mentimos? Si en el fondo se
Te nota tanto que te está matando
Decir que ahora mejor sin mí la estás pasando

Rauw
¿Cómo se llama este juego que estamos jugando los dos?
Con la hipocresía que llevamos, la careta nos pueden creer
Tú supiste que te quiero (I do)
Yo te digo ""dame banda"", pero me quemo por dentro
Cuando estoy en romo feo
Yo te llamo y me quedo en mudez

Quédate
¿Pa' dónde tú va'? Ven, ¿pa' dónde tú va'?
Qué—ay, quédate
¿Pa' dónde tú va'?

Me dices que pa' qué y yo te digo que
¿Pa' qué nos mentimos? Si en el fondo se
Te nota tanto que te está matando
Decir que ahora mejor sin mí la estás pasando

Me dices que pa' qué
Y yo te digo que, y yo te digo que, ¿pa' qué?
Me dices que pa' qué
Y tú sin mí no sé si bien la estás pasando
Mami
Es Raúl Alejandro junto a The King Romeo, jaja (The biggest)
Y yo no sé lo que tú y yo tenemo', pero quiero que sepas que es especial

Te escribí lo que sentía y lo borré
Te dije que no te amaba y lo arruiné
Sabiendo que
(Cuando te ibas, solo quería besarte)"
Las Pelotas,Será,60IzIxSuVAtU71yCmHjxHH,"Yo no sé todavía
Lo que me hiciste sentir
Es como la fiebre cuando quema
Si la nube que arrastras
Llegara a un sitio final
¿Cuánto tiempo guardas un secreto?

Será por ti, será por mí
Será por todo lo que fuimos
Hasta el amanecer

Desde el monte te abrazo
Camino sin explorar
¿Calmará la lluvia este desierto?
Con el alma en las manos
Tratando de descubrir
¿Qué será de nuestro cuerpo alado?

Será por ti, será por mí
Será por todo lo que fuimos
Hasta el amanecer
Será por ti, será por mí
Será por todo lo que fuimos
Hasta el amanecer
Hasta el amanecer
Será por ti, será por mi
Será por todo lo que fuimos
Hasta el amanecer
Hasta el amanecer"
Mon Laferte,Tu Falta De Querer,4skuEIloXWuxxgekKupkEH,"Hoy volví
A dormir en nuestra cama y todo sigue igual
El aire y nuestros gatos, nada cambiará
Difícil olvidarte estando aquí (Oh, oh, oh)
Te quiero ver
Aún te amo y creo que hasta más que ayer
La hiedra venenosa no te deja ver
Me siento mutilada y tan pequeña (Oh, oh, oh)

Ven y cuéntame la verdad
Ten piedad
Y dime por qué
(No-oh, no-oh, no-oh, oh-oh)
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer

Hace un mes
Solía escucharte y ser tu cómplice
Pensé que ya no había nadie más que tú
Yo fui tu amiga y fui tu compañera (Ah-ah-ah)
Ahora dormiré
Muy profundamente para olvidar
Quisiera hasta la muerte para no pensar
Me borro pa' quitarme esta amargura (Ah-ah-ah)

Ven y cuéntame la verdad
Ten piedad
Y dime por qué
(No-oh, no-oh, no-oh, oh-oh)
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer


Ven y cuéntame la verdad
Ten piedad
Y dime por qué
(No-oh, no-oh, no-oh, oh-oh)
¿Cómo fue que me dejaste de amar?
Yo aún podía soportar
Tu tanta falta de querer"
Patricio Rey y sus Redonditos de Ricota,Esa Estrella Era Mi Lujo,1buwr89mlvxbaqArqmvCYS,"""¿Era todo?"", pregunté
Soy un iluso
No nos dimos nada más
Solo un buen gesto


Mordí el anzuelo una vez más
Siempre un iluso
Nuestra estrella se agotó
Y era mi lujo


Ella fue por esa vez mi héroe vivo
Bah, fue mi único héroe en este lío
La más linda del amor que un tonto ha visto soñar
Metió, metió mi rocanrol bajo este pulso"
"Yan Block, De La Rose, Hades66, Ñengo Flow",444 - Remix,5AK6QqM8aUXXTk6oY00ZRh,"Uh-uh-uh-uh-uh
Real G4 Life, baby
Baby (Jajaja)
Hasta que la muerte nos separe
Comiéndote, vivo deseándote
Panda Black on the beat

Aunque no esté' aquí y esté' allá
Mami, tú 'tás clara que siempre te vo'a clavar (Que siempre me va' a clavar)
Que esto nunca va a acabar, si yo siempre vo'a clavarte
Tú siempre va' a tenerme y yo siempre vo'a tenerte
Tú siempre va' a llamar y yo voy a responderte (Yeah; papi, papi)
(Tú siempre va' a llamar y yo voy a responderte)

Me enchulé de tus defecto' imperfectamente perfecto'
Le contesto en to' momento, monumento e' ese cuerpo, ma
¿Cuándo vamo' a verno'? Que el infierno está viniendo
Y me quiero morir viniéndome, ma, metiéndote, yeah
Tengo mari, pali y Xanny, mami, yo vivo en un party
Apúntame a la chola con mi pistola y dime ""papi""
Siempre oculto, illuminati, en la Ducati, yeah
Por Miami, yeah

Aunque no esté' aquí y esté' allá
Mami, tú 'tás clara que siempre te vo'a clavar
Que esto nunca va a acabar, sí, yo siempre vo'a clavarte (-te)
Tú siempre va' a tenerme y yo siempre vo'a tenerte (-te-te-te)
Tú siempre va' a llamar y yo voy a responderte (Voy a responderte, papi; yeah)

Yeah, ey
Tú anda' por el área, ¿quiere' que me escape? (-cape)
Voy pa' casa de una pana, ese e' el tape
Ese bicho a mí me tiene en un trance
Hasta en el servicarro la mamá' te la ganaste, yeah
Y esa pistola pónmela en la boca
Pa' venirme a chorro', tú sabe' que soy loca, eh (Loca)
Siempre me arreglo pa' que me dejes rota
Con tu baby te comparto, yo no salgo chota (Chota)
Esperando el replay, ponérselo encima, ey (Encima)
Aunque sea un mistake
Nos dejamo' llevar siempre por la adrenalina, ey (Ay)
Los video' one take (One take)
Quiero darle replay, quiero que se repita
Ah, ah-ah
Los video' en hidden, contenido pa' que no olvide'

Lo rico que yo te lo hacía, uh-uh-uh
Lo rico que yo te lo hacía, ah-ah-ah
Lo rico que te lo hacía
Esta e' De La, la que flota en el beat, baby
Uh-uh-uh-uh-uh

Be-Bebecita, yo te lo dije
Que yo siempre voy a ser el que te parte
Tengo Roleta y ella Cartier
Tú sabe' que soy el uno y soy aparte
Tú está' ricota, tú ere' arte
Te gustan los artista' y los gangsters

Tú está' ricota
Tú está' ricota, tú ere' arte
Te gustan los artista' y los gangsters

Tú no está' cuando quiero, e' cuando tú quiere'
Si el amor es de verdad, pues, ¿pa' qué me hiere'?
Te doy to' lo que pediste, ¿qué más tú quiere'?
Con to' y eso pienso tanto, baby, que hasta me conformo
Con que tú me mire' y me escuche'
Me transformo cuando entra y dejo que me use' (Oye)
Me trastorno cuando no te siento cerca mío (El 66, bebecita)
Encima mío, me da escalofrío' (Ya no)

Quiero otras puta' (Ya no), pero pelea' con cojone'
Jode' con cojone' (Jode'), tú me cela' con cojone' (Jaja, ah)
¿No te cansas? Ya no entiendo las sonrisa', los momento'
Te estoy soñando despierto, sangra el corazón abierto
Bebé, yo soy tu nene (Sí), el que te cumple los placere'
Aunque me sobren las mujere', en cuatro te viene' bien rico (Rico)
Tú ere' mi Latto, tú ere' mi Kylie, bomboncito (Oye, mami)
Ese toto está bonito (Wuh-wuh), ese culo vale un kilito
Enchula'o de tus defecto' completamente perfecto'
Te lo meto en to' momento, tú te viene' en to' momento, ma (Oye)
Tengo las llave' de tu cuerpo, pero estoy perdiendo el tiempo
Ya no entiendo, ya no pienso (Brr), ma
Baby, si me extraña' yo te quiero de mentira'
Soy sincero, pa' chingar no tienes pero'
Mentirosa, bellaca, gata con celo'
Yo soy tu mejor polvo, bebé, y no fui el primero (Real G4 Life, baby)

Si me llamas e' pa' chingarno' hasta que amanezca
La forma en que mueve el culo hace que este bicho me crezca
Sus temblore' con los míos se conectan de forma directa (Jajaja)
Vo'a devorar tu cuerpo en cualquier parte del planeta
Es puro invierno, y yo quemándome en tu infierno
Y toa' las vece' que me llame' te lo vo'a seguir metiendo
Te gusta el maleanteo fino, muy pronto nos veremo' en el camino
Asesina, te gusta lo clandestino
Rifle y pistola pa' los gánstere', somos protegido' por los ángele'
Sé que te gusta el flow de to' estos gánstere'
Es que no pueden con la bestia porque ya la solté
Demonia, 'toy loco contigo desde que te encontré en high

Jajaja
Real G4 Life, baby
Lo rico que yo te lo hacía, uh-uh-uh
Lo rico que yo te lo hacía, ah-ah-ah (Jajaja)
Lo rico que te lo hacía (Hasta que la muerte nos separe)
Esta e' De La, la que flota en el beat, baby
Protegido por los ángeles to' el tiempo"
