title,artist,region,language,topic,topic_probability,dominant_emotion,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
Ba Ba Bad Remix,"Kybba, Sean Paul, Ryan Castro, Busy Signal",Colombia,es,-1,,joy,0.0,0.11571450034777324,0.3342556258042653,0.0,0.0,0.0,0.0
El Teléfono,"Héctor ""El Father"", Wisin & Yandel",Colombia,es,1,,neutral,0.0,0.2554951111475627,0.0,0.14846697449684143,0.0,0.0,0.0
Ya Borracho,Herencia De Grandes,Colombia,es,-1,,fear,0.0,0.2402026653289795,0.0,0.44339659810066223,0.0,0.0,0.0
Ya Borracho,Herencia De Grandes,Colombia,es,-1,,fear,0.0,0.2402026653289795,0.0,0.44339659810066223,0.0,0.0,0.0
NO ME QUIERO CASAR,Bad Bunny,Colombia,es,6,,neutral,0.0,0.27689334750175476,0.0,0.0,0.0,0.1677312652269999,0.0
top diesel,Beéle,Colombia,es,19,,surprise,0.0,0.15758419036865234,0.0,0.0,0.0,0.0,0.2181262969970703
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",Colombia,en,23,,surprise,0.0,0.0,0.2596282437443733,0.0,0.0,0.0,0.269787460565567
VeLDÁ,"Bad Bunny, Omar Courtz, Dei V",Colombia,en,23,,surprise,0.0,0.0,0.2596282437443733,0.0,0.0,0.0,0.269787460565567
Un Perro Enamorado,Yeison Jimenez,Colombia,es,-1,,fear,0.0,0.0,0.0,0.35353611409664154,0.0,0.0,0.0
Pa' Que La Pases Bien,Arcángel,Colombia,es,1,,joy,0.0,0.10979623595873515,0.3727333943049113,0.0,0.0,0.0,0.0
Cuando No Era Cantante,"El Bogueto, Yung Beef",Colombia,es,-1,,neutral,0.0,0.4583841661612193,0.0,0.0,0.0,0.0,0.0
Cuando No Era Cantante,"El Bogueto, Yung Beef",Colombia,es,-1,,neutral,0.0,0.4583841661612193,0.0,0.0,0.0,0.0,0.0
Diles,"Bad Bunny, Ozuna, Farruko, Arcángel, Ñengo Flow, DJ Luian, Mambo Kingz",Colombia,es,1,,neutral,0.0,0.3666077107191086,0.0,0.0,0.0,0.0,0.0
VOY A LLeVARTE PA PR,Bad Bunny,Colombia,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
VOY A LLeVARTE PA PR,Bad Bunny,Colombia,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
VOY A LLeVARTE PA PR,Bad Bunny,Colombia,es,12,,neutral,0.10704679290453593,0.23838509122530618,0.0,0.0,0.0,0.0,0.0
Hace Mucho Tiempo,Arcángel,Colombia,es,28,,neutral,0.0,0.5893518726030985,0.0,0.0,0.0,0.0,0.0
LUNA,"Feid, ATL Jacob",Colombia,en,0,,fear,0.0,0.0,0.0,0.4735647737979889,0.0,0.42495739459991455,0.0
MIL D AURA,Kris R.,Colombia,es,28,,neutral,0.0,0.5688523252805074,0.0,0.0,0.0,0.0,0.0
COMO OREO,"Blessd, Fuerza Regida, Ovy On The Drums",Colombia,es,1,,neutral,0.0,0.4136508007844289,0.0,0.0,0.0,0.0,0.0
Es un Secreto,Plan B,Colombia,es,-1,,neutral,0.09122846523920695,0.118691752354304,0.0,0.1080450713634491,0.0,0.0,0.0
MLP,Yeison Jimenez,Colombia,es,-1,,fear,0.0,0.20516034960746765,0.0,0.25294768810272217,0.0,0.0,0.0
URUS BLUE,"Blessd, Los Money Makers, Prodmonja",Colombia,es,1,,neutral,0.0,0.33805906772613525,0.0,0.09752318263053894,0.0,0.0,0.0
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)","Maluma, Trap Capos, Noriel, Bryant Myers, Juhn",Colombia,es,25,,neutral,0.0,0.6039772778749466,0.0,0.0,0.0,0.0,0.0
Imagínate,"Danny Ocean, Kapo",Colombia,es,6,,neutral,0.0,0.3366974393526713,0.11076573530832927,0.0,0.0,0.0,0.0
Esclava - Remix,"Bryant Myers, Anuel AA, Anonimus, Almighty",Colombia,es,-1,,neutral,0.1494150996208191,0.30007741451263426,0.0,0.0,0.0,0.0,0.0
MUSA,"CARABIN3, SVNTI",Colombia,es,6,,neutral,0.0,0.5119068473577499,0.0,0.0,0.0,0.0,0.0
Me Prefieres A Mi,Arcángel,Colombia,es,1,,anger,0.46762335300445557,0.0,0.0,0.0,0.0,0.0,0.0
DIOMEDEZ,"Blessd, GeezyDee",Colombia,es,28,,neutral,0.0,0.43292638659477234,0.0,0.0,0.0,0.0,0.0
NUEVAYoL,Bad Bunny,Colombia,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
NUEVAYoL,Bad Bunny,Colombia,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
NUEVAYoL,Bad Bunny,Colombia,es,29,,neutral,0.0,0.3654826283454895,0.10342777768770854,0.0,0.0,0.0,0.0
PASIÓN Y SEXO,"Kris R., ROA",Colombia,es,1,,neutral,0.0,0.42416611313819885,0.0,0.0,0.0,0.0,0.0
NO CRY,Kapo,Colombia,es,25,,neutral,0.0,0.4030487388372421,0.0,0.0,0.0,0.0,0.0
TU VAS SIN (fav),Rels B,Colombia,es,27,,neutral,0.0,0.5047098994255066,0.0,0.0,0.0,0.0,0.0
FANÁTICO,"Blessd, J Alvarez",Colombia,es,1,,neutral,0.0,0.4794599711894989,0.0,0.0,0.0,0.0,0.0
Mírame,"Blessd, Ovy On The Drums",Colombia,es,-1,,neutral,0.0,0.31164903938770294,0.0,0.0,0.0,0.0,0.0
En Las Noches Frias,Ñengo Flow,Colombia,es,6,,neutral,0.0,0.3555367961525917,0.0,0.23332920670509338,0.0,0.0,0.0
Solos,"Tony Dize, Plan B",Colombia,es,1,,neutral,0.0,0.5021152396996816,0.0,0.0,0.0,0.0,0.0
Verano Rosa,"KAROL G, Feid",Colombia,es,1,,neutral,0.0,0.3461065391699473,0.0,0.0,0.0,0.0,0.14699077606201172
Me Rehúso,Danny Ocean,Colombia,es,1,,neutral,0.0,0.27549925446510315,0.0,0.0,0.1559692621231079,0.0,0.0
444,"Yan Block, Panda Black",Colombia,es,6,,neutral,0.0,0.5429052213827769,0.0,0.0,0.0,0.0,0.0
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",Colombia,en,-1,,anger,0.5397863388061523,0.0,0.0,0.0,0.0,0.0,0.0
Idilio,Willie Colón,Colombia,es,1,,neutral,0.07603148619333903,0.11607421437899272,0.0,0.10851383209228516,0.0,0.0,0.0
Talento,"Yan Block, Panda Black",Colombia,es,6,,neutral,0.0,0.3381088376045227,0.0,0.0,0.0,0.0,0.0
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Colombia,es,6,,neutral,0.0,0.15693744023640951,0.13844135403633118,0.12922264138857523,0.0,0.0,0.0
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Colombia,es,6,,neutral,0.0,0.15693744023640951,0.13844135403633118,0.12922264138857523,0.0,0.0,0.0
orióN,"Boza, ELENA ROSE",Colombia,en,14,,neutral,0.0,0.3033626973628998,0.0,0.0,0.0,0.12074439972639084,0.09639117866754532
Mal Amor,Luis Alberto Posada,Colombia,es,1,,fear,0.0,0.0,0.0,0.31673291325569153,0.0,0.0,0.0
Ganas De Ti,Arcángel,Colombia,es,1,,neutral,0.0,0.4705038070678711,0.0,0.0,0.0,0.0,0.0
Imitadora,Romeo Santos,Colombia,es,-1,,fear,0.0,0.18696923553943634,0.0,0.2410709410905838,0.0,0.0,0.0
Borro Cassette,Maluma,Colombia,es,1,,neutral,0.0,0.23626959323883057,0.0,0.14121368527412415,0.0,0.0,0.0
