topic,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
-1,0.023954960461016053,0.23346139327243523,0.036902908153004114,0.1158167702180368,0.0,0.07641828567893418,0.05756075029019957
0,0.04986391365528107,0.0,0.04773035620649656,0.10330170020461082,0.0,0.36233647664388025,0.13199933096766472
1,0.018156989708415467,0.29456895710820824,0.04904478928472242,0.050888680813149505,0.006773555125945654,0.0,0.00881495957191174
2,0.0019648462146907657,0.4069240815711744,0.01950713600775208,0.017551431408176176,0.017013712362809616,0.003812316391203139,0.0
3,0.008311686106026173,0.01577420672401786,0.0768147239771982,0.016420408617705107,0.0,0.45463494056214887,0.12589811657865843
4,0.027064194679260255,0.00926953136920929,0.3471678904692332,0.0,0.0,0.2678862816095352,0.11741329193115234
5,0.14417536751083707,0.0,0.033182496609895126,0.18360229160474695,0.0073008660389029464,0.21918118518331778,0.15045267213945804
6,0.010189345531296313,0.3213732913136482,0.051710012450552824,0.03948525117154707,0.0,0.0662046391190144,0.0
7,0.0545067802855843,0.00573064360702247,0.09628243195383172,0.0240194813201302,0.0,0.43934218277010995,0.06280808072341115
8,0.18545546657160708,0.09455945094426473,0.013762648168363069,0.0,0.0,0.15279819149720042,0.09364868778931468
9,0.072845518571489,0.001387305119458367,0.07125244961065404,0.15726157874453303,0.0,0.28414178976825644,0.010054025205911376
10,0.060901851922857984,0.1615837996496874,0.12743036624263315,0.10109900551683762,0.0,0.1456094223494623,0.014019262264756596
11,0.03353796831021706,0.052277285450448595,0.23038229725013176,0.0,0.015174242109060288,0.09230743522445362,0.09977367737640937
12,0.0701881991699338,0.279896614762644,0.0,0.0,0.0,0.066250741481781,0.0
13,0.0,0.09816322475671768,0.41061943769454956,0.0,0.0,0.27090749783175333,0.0
14,0.0,0.0837059382881437,0.04805854956309001,0.022488015038626536,0.0,0.5230017497780778,0.0068850841905389515
15,0.18671890224019688,0.0,0.0,0.04654449597001076,0.0,0.3029361438183557,0.07600654129471097
16,0.0,0.010136873239562624,0.15536270609923772,0.0,0.0,0.29298271451677593,0.1961291262081691
17,0.0,0.0,0.07536352745124272,0.0,0.0,0.0,0.5052851246935981
18,0.0,0.4617300679286321,0.0,0.01331416116311,0.03781710947171236,0.0,0.0
19,0.10260587537681663,0.30453871174173036,0.0,0.00717009030855619,0.0,0.0,0.016778945922851562
20,0.0,0.0,0.017812332281699546,0.2749803983248197,0.0,0.3495210443551724,0.17275264400702256
21,0.6389279273840097,0.0,0.14973878860473633,0.0,0.0,0.0,0.0
22,0.0,0.0,0.2167850285768509,0.28085485100746155,0.0,0.27966392040252686,0.0
23,0.0,0.07924163341522217,0.13562601059675217,0.1529483199119568,0.0,0.10445366303126018,0.08992915352185567
24,0.043702002727624145,0.10739234631711786,0.0,0.0,0.0,0.22566450545282074,0.18532586097717285
25,0.0,0.4872725253755396,0.0,0.0,0.0,0.0,0.0
26,0.0,0.10006774465243021,0.2026989383227897,0.0,0.0,0.3109187863089822,0.045028652657162056
27,0.08904781937599182,0.2001857191324234,0.0,0.2319406270980835,0.0,0.0,0.0
28,0.01382489651441574,0.3958596348762512,0.0,0.014582507312297821,0.0,0.0,0.0
29,0.0,0.3453296959400177,0.09308499991893768,0.02174921234448751,0.0,0.0,0.0
