region,emotion_anger,emotion_neutral,emotion_joy,emotion_fear,emotion_disgust,emotion_sadness,emotion_surprise
Colombia,0.026188800688185746,0.30194471869433914,0.04826978785139663,0.05168116643085136,0.007884688787274174,0.018186364244591365,0.009018767323042895
Global,0.05474975390230271,0.10654462346684274,0.08560272279588935,0.06705225399630592,0.0,0.22190479328713103,0.09884708405869105
Taiwan,0.050664378042516944,0.17928723519297965,0.10935532053311665,0.04559217492309312,0.005671237454269872,0.1611051449570993,0.05096144372164601
USA,0.07205132426217545,0.06815696516355803,0.08832166702017304,0.0707067146521899,0.0016935954087002332,0.24270284646010215,0.09385667936226656
